name,display_name,abbreviation,family,temporal_meaning,unit,source,source_period,note,feature,decision,correlated_with,abs_spearman,retained
prcp_mm_mean_2000_2025,Mean annual precipitation,PRCPm,Climate,"Mean, 2000-2025",mm yr-1,ERA5-Land,2000-2025,,prcp_mm_mean_2000_2025,retained,,,True
prcp_mm_slope_2000_2025,Precipitation trend,PRCPs,Climate,"Linear slope, 2000-2025",mm yr-2,ERA5-Land,2000-2025,,prcp_mm_slope_2000_2025,retained,prcp_mm_mean_2000_2025,0.0828196832522431,True
tmean_c_mean_2000_2025,Mean air temperature,TEMPm,Climate,"Mean, 2000-2025",deg C,ERA5-Land,2000-2025,,tmean_c_mean_2000_2025,retained,prcp_mm_mean_2000_2025,0.5610010507303473,True
tmean_c_slope_2000_2025,Air temperature trend,TEMPs,Climate,"Linear slope, 2000-2025",deg C yr-1,ERA5-Land,2000-2025,,tmean_c_slope_2000_2025,retained,prcp_mm_slope_2000_2025,0.4466906626664807,True
vpd_kpa_mean_2000_2025,Mean vapor pressure deficit,VPDm,Climate,"Mean, 2000-2025",kPa,ERA5-Land,2000-2025,,vpd_kpa_mean_2000_2025,retained,prcp_mm_mean_2000_2025,0.745281783052413,True
vpd_kpa_slope_2000_2025,Vapor pressure deficit trend,VPDs,Climate,"Linear slope, 2000-2025",kPa yr-1,ERA5-Land,2000-2025,,vpd_kpa_slope_2000_2025,retained,tmean_c_slope_2000_2025,0.7792447795422676,True
ssrd_wm2_mean_2000_2025,Mean downward shortwave radiation,SRADm,Climate,"Mean, 2000-2025",W m-2,ERA5-Land,2000-2025,,ssrd_wm2_mean_2000_2025,retained,tmean_c_mean_2000_2025,0.627238352352933,True
ssrd_wm2_slope_2000_2025,Shortwave radiation trend,SRADs,Climate,"Linear slope, 2000-2025",W m-2 yr-1,ERA5-Land,2000-2025,,ssrd_wm2_slope_2000_2025,retained,vpd_kpa_slope_2000_2025,0.6275618708567943,True
pet_mm_mean_2000_2025,Mean potential evapotranspiration,PETm,Climate,"Mean, 2000-2025",mm yr-1,ERA5-Land,2000-2025,,pet_mm_mean_2000_2025,retained,vpd_kpa_slope_2000_2025,0.3137745773883528,True
pet_mm_slope_2000_2025,Potential evapotranspiration trend,PETs,Climate,"Linear slope, 2000-2025",mm yr-2,ERA5-Land,2000-2025,,pet_mm_slope_2000_2025,retained,pet_mm_mean_2000_2025,0.7290163958405934,True
def_mm_mean_2000_2025,Mean climatic water deficit,CWDm,Climate,"Mean, 2000-2025",mm yr-1,ERA5-Land,2000-2025,,def_mm_mean_2000_2025,retained,pet_mm_mean_2000_2025,0.9908408079380164,True
def_mm_slope_2000_2025,Climatic water deficit trend,CWDs,Climate,"Linear slope, 2000-2025",mm yr-2,ERA5-Land,2000-2025,,def_mm_slope_2000_2025,retained,pet_mm_slope_2000_2025,0.8729260267986866,True
aet_mm_mean_2000_2025,Mean actual evapotranspiration,AETm,Climate,"Mean, 2000-2025",mm yr-1,ERA5-Land,2000-2025,Realized water use context,aet_mm_mean_2000_2025,retained,pet_mm_mean_2000_2025,0.4803873623422883,True
