source,target,path,effect_type,estimate,bootstrap_mean,bootstrap_se,ci_low,ci_high,p_bootstrap,n_bootstrap,family,q_bh,ci_excludes_zero
Terrain,Hydrology,Terrain -> Hydrology,coefficient,-0.8268680858330879,-0.8268217714735235,0.006345060131623839,-0.8381016655685766,-0.81387533469428,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Terrain,LandCover,Terrain -> LandCover,coefficient,0.3628630163528028,0.36188024746568404,0.014887480268996252,0.3337569733835499,0.38842213255346464,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Terrain,REGAIN,Terrain -> REGAIN,coefficient,-0.43474717618679315,-0.434106128907477,0.010841976049179603,-0.45513441816098554,-0.4133708254279643,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Climate,Hydrology,Climate -> Hydrology,coefficient,-0.04105424501719389,-0.04089180809188297,0.003129409566236917,-0.04690276231029108,-0.03505145635607864,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Climate,LandCover,Climate -> LandCover,coefficient,-0.021682452835260844,-0.02155625461663223,0.0032512126740412723,-0.02780238012034079,-0.015006138148307402,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Climate,REGAIN,Climate -> REGAIN,coefficient,-0.03397784657929498,-0.033809177102708934,0.007390022064546492,-0.04789545026681787,-0.01753116163929768,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Human,Hydrology,Human -> Hydrology,coefficient,0.0018868361771770025,0.002202465197182926,0.008175390013792042,-0.012093203841083339,0.018429213301486735,0.8039867109634552,300,"direct paths, ordinary cell bootstrap",0.8039867109634552,False
Human,LandCover,Human -> LandCover,coefficient,-0.6385228281637565,-0.6390100892052138,0.009232640622315751,-0.6585910914761209,-0.6218098581085433,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Human,REGAIN,Human -> REGAIN,coefficient,0.09696950516874206,0.09821366000525818,0.009539015811264472,0.08154058324645343,0.11749002297021546,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Hydrology,LandCover,Hydrology -> LandCover,coefficient,0.10952222898295046,0.10905919224828191,0.009482246964390526,0.090798925162997,0.12590611761545376,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
Hydrology,REGAIN,Hydrology -> REGAIN,coefficient,-0.12930194681402143,-0.12891791224611301,0.00960954380026468,-0.1477615002732358,-0.10897298161770018,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
LandCover,REGAIN,LandCover -> REGAIN,coefficient,0.7507469034747204,0.7515352235278786,0.008942150729114938,0.7339032142291023,0.7684228299459417,0.006644518272425249,300,"direct paths, ordinary cell bootstrap",0.007248565388100273,True
