elevation_bin,slope_bin,dominant_cover,n_ROI5,n_BG15,common_support,ROI5_eci_2000,ROI5_eci_2025,ROI5_eci_change,BG15_eci_2000,BG15_eci_2025,BG15_eci_change
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",built,26,164,False,0.042112214389812205,0.030108270304389798,-0.012003944085422406,0.05020434138099972,0.07336175924723896,0.02315741786623923
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",cropland,797,4485,True,0.2778782011894538,0.17416440610145234,-0.10371379508800148,0.29888916987464687,0.16240115694660184,-0.13648801292804497
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",forest,1,11,False,0.0838702859584314,0.2837040577263115,0.1998337717678801,0.18261734062470278,0.26420092151884833,0.08158358089414547
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",other_cover_combined,1,1,False,0.0,0.0548195645950114,0.0548195645950114,0.0,0.0940888453889204,0.0940888453889204
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",water,42,324,True,0.41058412376704123,0.3537961299459949,-0.05678799382104628,0.42082142531224914,0.33268562228049875,-0.08813580303175042
"[-1000000000.0, 200.0)","[15.0, 25.0)",cropland,0,1,False,,,,0.3512210047899718,0.3980536256351945,0.0468326208452226
"[-1000000000.0, 200.0)","[15.0, 25.0)",forest,309,722,True,0.45742578964202585,0.5964559200062404,0.13903013036421452,0.4685152176324386,0.6125119253736794,0.1439967077412407
"[-1000000000.0, 200.0)","[25.0, 1000000000.0)",forest,0,1,False,,,,0.4240706615871132,0.5711698531131972,0.147099191526084
"[-1000000000.0, 200.0)","[5.0, 15.0)",built,85,258,True,0.048755028374729135,0.23434925575736668,0.1855942273826376,0.059430818616679995,0.197173753420516,0.13774293480383598
"[-1000000000.0, 200.0)","[5.0, 15.0)",cropland,1444,3479,True,0.2147775197099908,0.2950098344036291,0.08023231469363827,0.22741661506484312,0.23754122192964017,0.010124606864797055
"[-1000000000.0, 200.0)","[5.0, 15.0)",forest,1421,4390,True,0.37025266704098986,0.4945898525166623,0.12433718547567241,0.36013929358547403,0.4513561297001041,0.09121683611462993
"[-1000000000.0, 200.0)","[5.0, 15.0)",other_cover_combined,5,1,False,0.0,0.26170684045178566,0.26170684045178566,0.0,0.0623493749011847,0.0623493749011847
"[-1000000000.0, 200.0)","[5.0, 15.0)",water,22,112,False,0.3799873980536837,0.42072839017233243,0.040740992118648824,0.3738544094996047,0.3927825356134959,0.018928126113891244
"[1000.0, 1000000000.0)","[15.0, 25.0)",forest,19,232,False,0.5261426431621737,0.5683375223356101,0.04219487917343639,0.4495818155189766,0.6659039208512785,0.21632210533230198
"[1000.0, 1000000000.0)","[15.0, 25.0)",other_cover_combined,0,5,False,,,,0.048644069813894374,0.28540947258296206,0.23676540276906768
