year,component,n,n_missing,lower_clipped,upper_clipped,lower_fraction,upper_fraction,raw_median
2000,kndvi_mean,38281,0,458,33,0.011964159765941328,0.0008620464460176066,0.4073681518414219
2000,nbr_mean,38281,0,425,51,0.011102113319923721,0.0013322535983908467,0.5417216929950112
2000,ndmi_mean,38281,0,534,34,0.013949478853739454,0.0008881690655938978,0.2304043338705276
2000,bsi_mean,38281,0,2,677,5.2245239152582224e-05,0.01768501345314908,-0.1628343536037854
2001,kndvi_mean,38281,0,444,2,0.011598443091873254,5.2245239152582224e-05,0.4077928911342296
2001,nbr_mean,38281,0,458,46,0.011964159765941328,0.001201640500509391,0.5484254545131807
2001,ndmi_mean,38281,0,589,50,0.015386222930435465,0.0013061309788145556,0.2359151871919486
2001,bsi_mean,38281,0,3,642,7.836785872887333e-05,0.016770721767978895,-0.1700976391936256
2002,kndvi_mean,38281,0,839,25,0.02191687782450824,0.0006530654894072778,0.3661540977688672
2002,nbr_mean,38281,0,552,22,0.014419686006112693,0.0005746976306784045,0.5318024757013329
2002,ndmi_mean,38281,0,745,44,0.019461351584336876,0.001149395261356809,0.2242638496917454
2002,bsi_mean,38281,0,4,822,0.00010449047830516445,0.021472793291711294,-0.1561159460316601
2003,kndvi_mean,38281,0,2273,0,0.059376714296909695,0.0,0.3520127432301663
2003,nbr_mean,38281,0,1966,38,0.051357070086988324,0.0009926595438990622,0.5279929382618702
2003,ndmi_mean,38281,0,2897,45,0.07567722891251534,0.0011755178809331,0.2180824062899729
2003,bsi_mean,38281,0,5,2761,0.00013061309788145556,0.07212455265013976,-0.1507280477297407
2004,kndvi_mean,38281,0,2412,0,0.06300775841801416,0.0,0.3367155219838064
2004,nbr_mean,38281,0,2091,32,0.05462239753402471,0.0008359238264413156,0.5070297865371681
2004,ndmi_mean,38281,0,2689,35,0.0702437240406468,0.0009142916851701888,0.2066080044918935
2004,bsi_mean,38281,0,1,2697,2.6122619576291112e-05,0.07045270499725713,-0.1366986145229436
2005,kndvi_mean,38281,0,705,3,0.018416446801285232,7.836785872887333e-05,0.3817667925344572
2005,nbr_mean,38281,0,356,104,0.009299652569159635,0.0027167524359342755,0.5397315024234194
2005,ndmi_mean,38281,0,391,70,0.010213944254329824,0.0018285833703403777,0.2337986278396444
2005,bsi_mean,38281,0,25,498,0.0006530654894072778,0.013009064548992973,-0.1654744013619736
2006,kndvi_mean,38281,0,721,269,0.018834408714505892,0.0070269846660223085,0.4044927061183362
2006,nbr_mean,38281,0,461,232,0.012042527624670202,0.006060447741699538,0.5593166250281589
2006,ndmi_mean,38281,0,522,118,0.01363600741882396,0.003082469110002351,0.2495250986267208
2006,bsi_mean,38281,0,64,585,0.0016718476528826312,0.0152817324521303,-0.185610258390424
2007,kndvi_mean,38281,0,863,2,0.022543820694339228,5.2245239152582224e-05,0.3851036900555908
2007,nbr_mean,38281,0,612,93,0.01598704318069016,0.0024294036205950733,0.5471097515150619
2007,ndmi_mean,38281,0,697,51,0.018207465844674905,0.0013322535983908467,0.2375870501662483
2007,bsi_mean,38281,0,10,695,0.0002612261957629111,0.018155220605522323,-0.1719210281416204
2008,kndvi_mean,38281,0,704,51,0.018390324181708943,0.0013322535983908467,0.3971769860778259
