year,domain,n,n_finite,eci_median,eci_mean,eci_q25,eci_q75
2000,BG15,84192,84192,0.5742235018377253,0.5431561177994324,0.38221758272833883,0.720358679582371
2000,ROI5,38281,38281,0.5599082679187032,0.5349011012305378,0.37226562328945506,0.7144286896094459
2001,BG15,84192,84192,0.5883661755914682,0.5480822605448346,0.3799326193680047,0.7265951885417978
2001,ROI5,38281,38281,0.5733227785780841,0.5396073502029815,0.37604564737040913,0.7190456036149643
2002,BG15,84192,84192,0.54031007684484,0.5067500786522996,0.3227010083527827,0.6941699067074387
2002,ROI5,38281,38281,0.5246421037571274,0.5040710464528008,0.3211023151065576,0.6968795309591796
2003,BG15,84192,84192,0.523891067546834,0.4697210684728904,0.24464326808058712,0.6963064507322132
2003,ROI5,38281,38281,0.506342587224281,0.46651275340477494,0.25194629506958865,0.6870976016561442
2004,BG15,84192,84192,0.48875014695147256,0.45188006376635736,0.21287722600244283,0.683253295485613
2004,ROI5,38281,38281,0.46905306991611867,0.44628651234533445,0.2159062480447905,0.6754066176864529
2005,BG15,84192,84192,0.5651996117459275,0.5393190249320035,0.3770232084670983,0.7140655964176733
2005,ROI5,38281,38281,0.5481976888904805,0.5295151635864424,0.3594408829893344,0.7114819539545767
2006,BG15,84192,84192,0.6174370361917398,0.5672095962451972,0.38297949444641466,0.7622668364283791
2006,ROI5,38281,38281,0.5986555143265997,0.5589974658697775,0.366544193149928,0.7584667938986606
2007,BG15,84192,84192,0.5801750417816811,0.5345106340279876,0.35112408395660677,0.7267838865629993
2007,ROI5,38281,38281,0.5634103863487014,0.5260191002476902,0.3381393798082124,0.721774882422661
2008,BG15,84192,84192,0.5566701844340953,0.5238202372265112,0.36151409451332345,0.6936783828318438
2008,ROI5,38281,38281,0.5422153944097962,0.5176181588676154,0.35544190427476546,0.6909985173443416
2009,BG15,84192,84192,0.5124753886395571,0.4699955553205489,0.26387245255529235,0.6757499337235784
2009,ROI5,38281,38281,0.49623169744695217,0.4679762522183942,0.2685759925494844,0.6740529473440271
2010,BG15,84192,84192,0.5636730127621941,0.5232872265636218,0.3572529349909061,0.7034608683743014
2010,ROI5,38281,38281,0.5480167277891335,0.5198017615727832,0.35919016439575746,0.6967335682219685
2011,BG15,84192,84192,0.563881395701958,0.5432937529932008,0.37003002298147464,0.726408956426408
2011,ROI5,38281,38281,0.5419829898900819,0.5308035398913001,0.3628460484249965,0.7122932626151391
2012,BG15,84192,84192,0.6948721833731902,0.6486450563964078,0.4941394661650218,0.8246181362987197
2012,ROI5,38281,38281,0.6696779411691028,0.6326549417025512,0.4789045924530639,0.8102232654219959
2013,BG15,84192,84192,0.6997972419077882,0.649019033265471,0.4855088088258104,0.8416939715130808
2013,ROI5,38281,38281,0.6859760370093492,0.6474014375247585,0.488963984682639,0.8326835243249613
2014,BG15,84192,84192,0.6892643268962407,0.6373683932349062,0.4604735625216751,0.8428034494714195
2014,ROI5,38281,38281,0.6713412829022235,0.6348209525646361,0.46312041249454206,0.8306607591492814
2015,BG15,84192,84192,0.6953505438790911,0.6535781355987651,0.49615463331528187,0.8333954210188016
2015,ROI5,38281,38281,0.6780203361772354,0.6458094636298816,0.4918614596725521,0.8231226553778643
2016,BG15,84192,84192,0.6493109018877694,0.6067973928772475,0.4443805804377954,0.7966798413135917
2016,ROI5,38281,38281,0.6439399404945771,0.6088090533441065,0.4497680764491041,0.7933377494115507
2017,BG15,84192,84192,0.7272062767941175,0.6721732057099014,0.5008169270321687,0.8785207849195785
2017,ROI5,38281,38281,0.7144004111152067,0.6705539196272253,0.5054024862056339,0.8664441224864564
2018,BG15,84192,84192,0.7010903483535522,0.6480584018117594,0.4617277693628483,0.8617412139632186
2018,ROI5,38281,38281,0.686273840242263,0.6457527726337409,0.4656238892094855,0.8513726147609756
2019,BG15,84192,84192,0.7299085114125451,0.6657924256706909,0.4902145956686348,0.8782283952782022
2019,ROI5,38281,38281,0.7217431763255917,0.6726687770011844,0.508151000339236,0.8719974463231512
2020,BG15,84192,84192,0.6876145304571345,0.6351942268486449,0.45609450755213893,0.8424211699976857
2020,ROI5,38281,38281,0.6755095468487785,0.6365484955839742,0.4687115532713819,0.8309014412772361
2021,BG15,84192,84192,0.6927367556973814,0.6255849535829683,0.4268322224517304,0.8499175778942185
2021,ROI5,38281,38281,0.6793706808391117,0.6220785200184065,0.43029801926596345,0.8398340790409693
2022,BG15,84192,84192,0.7681674660265968,0.7044199794294222,0.5293875552831727,0.9198386951204436
2022,ROI5,38281,38281,0.7614135694400872,0.7101775405860483,0.5474881311615831,0.9110134508908507
2023,BG15,84192,84192,0.6947198961800729,0.637250236898012,0.45896648275412916,0.8407357921783287
2023,ROI5,38281,38281,0.6897504510026522,0.6447247053294144,0.4832322226432132,0.8351241269577608
2024,BG15,84192,84192,0.7612619136315741,0.7031647328552049,0.5571282523828148,0.888733943061395
2024,ROI5,38281,38281,0.7636665443757433,0.7174715526003109,0.5846167074464819,0.8920678306483159
2025,BG15,84192,84192,0.7165768159888848,0.6475652929218989,0.4672194755227176,0.8637786294367881
2025,ROI5,38281,38281,0.7155577937399502,0.6625522588472293,0.49837767084868645,0.863240160525865
