field,n,n_match,max_absolute_difference,passed
eci_2000,38273,38273,3.3306690738754696e-16,True
eci_2025,38273,38273,3.3306690738754696e-16,True
eci_min_2000_2025,38273,38273,2.220446049250313e-16,True
eci_max_2000_2025,38273,38273,3.3306690738754696e-16,True
eci_range_2000_2025,38273,38273,4.718447854656915e-16,True
regain_2025,38273,38273,1.887379141862766e-15,True
regain_sen_slope_2000_2025,38273,38273,9.974659986866641e-17,True
regain_mk_tau_2000_2025,38273,38273,9.71445146547012e-17,True
regain_mk_z_2000_2025,38273,38273,1.3322676295501878e-15,True
regain_mk_p_2000_2025,38273,38273,2.220446049250313e-16,True
