stage,year,method,component_a,component_b,correlation,n_records
raw,2000,pearson,kndvi_mean,nbr_mean,0.9358132076686894,38281
raw,2000,pearson,kndvi_mean,ndmi_mean,0.8836927010577305,38281
raw,2000,pearson,kndvi_mean,bsi_mean,-0.943496557685232,38281
raw,2000,pearson,nbr_mean,ndmi_mean,0.9782920630371771,38281
raw,2000,pearson,nbr_mean,bsi_mean,-0.9851128701010752,38281
raw,2000,pearson,ndmi_mean,bsi_mean,-0.9836762912808432,38281
raw,2000,spearman,kndvi_mean,nbr_mean,0.9442731424501847,38281
raw,2000,spearman,kndvi_mean,ndmi_mean,0.899740188144454,38281
raw,2000,spearman,kndvi_mean,bsi_mean,-0.9489506047497241,38281
raw,2000,spearman,nbr_mean,ndmi_mean,0.983888301470352,38281
raw,2000,spearman,nbr_mean,bsi_mean,-0.9913675115214994,38281
raw,2000,spearman,ndmi_mean,bsi_mean,-0.9859474360301487,38281
raw,2001,pearson,kndvi_mean,nbr_mean,0.9306321938027118,38281
raw,2001,pearson,kndvi_mean,ndmi_mean,0.8829355910565093,38281
raw,2001,pearson,kndvi_mean,bsi_mean,-0.9453945401798646,38281
raw,2001,pearson,nbr_mean,ndmi_mean,0.9819060403576945,38281
raw,2001,pearson,nbr_mean,bsi_mean,-0.9852313550858619,38281
raw,2001,pearson,ndmi_mean,bsi_mean,-0.9826715807554715,38281
raw,2001,spearman,kndvi_mean,nbr_mean,0.9384716572020602,38281
raw,2001,spearman,kndvi_mean,ndmi_mean,0.9015085408848795,38281
raw,2001,spearman,kndvi_mean,bsi_mean,-0.9513740559565291,38281
raw,2001,spearman,nbr_mean,ndmi_mean,0.9877495974057214,38281
raw,2001,spearman,nbr_mean,bsi_mean,-0.9916544071972446,38281
raw,2001,spearman,ndmi_mean,bsi_mean,-0.9857998374501178,38281
raw,2002,pearson,kndvi_mean,nbr_mean,0.9095919878585078,38281
raw,2002,pearson,kndvi_mean,ndmi_mean,0.8676608138339431,38281
raw,2002,pearson,kndvi_mean,bsi_mean,-0.9276601146935692,38281
raw,2002,pearson,nbr_mean,ndmi_mean,0.9823882425393963,38281
raw,2002,pearson,nbr_mean,bsi_mean,-0.9837431683359271,38281
raw,2002,pearson,ndmi_mean,bsi_mean,-0.9838298972167983,38281
raw,2002,spearman,kndvi_mean,nbr_mean,0.9218028118625676,38281
raw,2002,spearman,kndvi_mean,ndmi_mean,0.8848715286452866,38281
raw,2002,spearman,kndvi_mean,bsi_mean,-0.934218658337996,38281
raw,2002,spearman,nbr_mean,ndmi_mean,0.9884784655825116,38281
raw,2002,spearman,nbr_mean,bsi_mean,-0.9908481040203211,38281
raw,2002,spearman,ndmi_mean,bsi_mean,-0.9863302961647991,38281
raw,2003,pearson,kndvi_mean,nbr_mean,0.931767627936599,38281
raw,2003,pearson,kndvi_mean,ndmi_mean,0.8994725755692203,38281
raw,2003,pearson,kndvi_mean,bsi_mean,-0.9361594090548241,38281
raw,2003,pearson,nbr_mean,ndmi_mean,0.9873723643403735,38281
raw,2003,pearson,nbr_mean,bsi_mean,-0.9883267070998789,38281
raw,2003,pearson,ndmi_mean,bsi_mean,-0.991787321436303,38281
raw,2003,spearman,kndvi_mean,nbr_mean,0.9324450510866586,38281
raw,2003,spearman,kndvi_mean,ndmi_mean,0.9011560546769081,38281
raw,2003,spearman,kndvi_mean,bsi_mean,-0.9366891730540503,38281
raw,2003,spearman,nbr_mean,ndmi_mean,0.9916769038653918,38281
raw,2003,spearman,nbr_mean,bsi_mean,-0.9941388118126697,38281
raw,2003,spearman,ndmi_mean,bsi_mean,-0.9923755243443194,38281
raw,2004,pearson,kndvi_mean,nbr_mean,0.9461488004395615,38281
raw,2004,pearson,kndvi_mean,ndmi_mean,0.9242417337070131,38281
raw,2004,pearson,kndvi_mean,bsi_mean,-0.9539220667428192,38281
raw,2004,pearson,nbr_mean,ndmi_mean,0.9878130929002238,38281
raw,2004,pearson,nbr_mean,bsi_mean,-0.9883542951605759,38281
raw,2004,pearson,ndmi_mean,bsi_mean,-0.9937697199844531,38281
raw,2004,spearman,kndvi_mean,nbr_mean,0.9533796765943775,38281
raw,2004,spearman,kndvi_mean,ndmi_mean,0.9341335110507009,38281
raw,2004,spearman,kndvi_mean,bsi_mean,-0.9597074242068109,38281
raw,2004,spearman,nbr_mean,ndmi_mean,0.9928844896785155,38281
raw,2004,spearman,nbr_mean,bsi_mean,-0.9944163224644015,38281
raw,2004,spearman,ndmi_mean,bsi_mean,-0.9945972505377075,38281
raw,2005,pearson,kndvi_mean,nbr_mean,0.923037543480741,38281
raw,2005,pearson,kndvi_mean,ndmi_mean,0.8807239196276719,38281
raw,2005,pearson,kndvi_mean,bsi_mean,-0.9374656799415106,38281
raw,2005,pearson,nbr_mean,ndmi_mean,0.9810260358678485,38281
raw,2005,pearson,nbr_mean,bsi_mean,-0.9848840521843406,38281
raw,2005,pearson,ndmi_mean,bsi_mean,-0.9851862642773812,38281
raw,2005,spearman,kndvi_mean,nbr_mean,0.9310256066117034,38281
raw,2005,spearman,kndvi_mean,ndmi_mean,0.895997334445944,38281
raw,2005,spearman,kndvi_mean,bsi_mean,-0.944392929092541,38281
raw,2005,spearman,nbr_mean,ndmi_mean,0.9879227924842922,38281
raw,2005,spearman,nbr_mean,bsi_mean,-0.9921131581237412,38281
raw,2005,spearman,ndmi_mean,bsi_mean,-0.9867658045994732,38281
raw,2006,pearson,kndvi_mean,nbr_mean,0.9205199175522232,38281
raw,2006,pearson,kndvi_mean,ndmi_mean,0.8775203812528755,38281
raw,2006,pearson,kndvi_mean,bsi_mean,-0.930573721483731,38281
raw,2006,pearson,nbr_mean,ndmi_mean,0.9830692638246746,38281
raw,2006,pearson,nbr_mean,bsi_mean,-0.9851056452837064,38281
raw,2006,pearson,ndmi_mean,bsi_mean,-0.9871260779132691,38281
raw,2006,spearman,kndvi_mean,nbr_mean,0.9233332009112043,38281
raw,2006,spearman,kndvi_mean,ndmi_mean,0.8879981260382319,38281
raw,2006,spearman,kndvi_mean,bsi_mean,-0.9341077043011428,38281
raw,2006,spearman,nbr_mean,ndmi_mean,0.9895460030390771,38281
raw,2006,spearman,nbr_mean,bsi_mean,-0.992294345518202,38281
raw,2006,spearman,ndmi_mean,bsi_mean,-0.9887204256120369,38281
raw,2007,pearson,kndvi_mean,nbr_mean,0.931923609588483,38281
raw,2007,pearson,kndvi_mean,ndmi_mean,0.8966361749487005,38281
raw,2007,pearson,kndvi_mean,bsi_mean,-0.944255773022035,38281
raw,2007,pearson,nbr_mean,ndmi_mean,0.9835877158120576,38281
raw,2007,pearson,nbr_mean,bsi_mean,-0.985865266644049,38281
raw,2007,pearson,ndmi_mean,bsi_mean,-0.9883759759888748,38281
raw,2007,spearman,kndvi_mean,nbr_mean,0.9360139310389418,38281
raw,2007,spearman,kndvi_mean,ndmi_mean,0.9077813799536006,38281
raw,2007,spearman,kndvi_mean,bsi_mean,-0.9488918357855113,38281
raw,2007,spearman,nbr_mean,ndmi_mean,0.9903954059469937,38281
raw,2007,spearman,nbr_mean,bsi_mean,-0.9929252086976045,38281
raw,2007,spearman,ndmi_mean,bsi_mean,-0.9898182375948639,38281
raw,2008,pearson,kndvi_mean,nbr_mean,0.9062044182521297,38281
raw,2008,pearson,kndvi_mean,ndmi_mean,0.8565885251891033,38281
raw,2008,pearson,kndvi_mean,bsi_mean,-0.9233416073031795,38281
raw,2008,pearson,nbr_mean,ndmi_mean,0.9789936879521792,38281
raw,2008,pearson,nbr_mean,bsi_mean,-0.9820230814158272,38281
raw,2008,pearson,ndmi_mean,bsi_mean,-0.9831730663088403,38281
raw,2008,spearman,kndvi_mean,nbr_mean,0.9044776298509647,38281
raw,2008,spearman,kndvi_mean,ndmi_mean,0.8737414769349079,38281
raw,2008,spearman,kndvi_mean,bsi_mean,-0.9284762629248944,38281
raw,2008,spearman,nbr_mean,ndmi_mean,0.9881645980886464,38281
raw,2008,spearman,nbr_mean,bsi_mean,-0.9899054829994826,38281
raw,2008,spearman,ndmi_mean,bsi_mean,-0.9862465559276624,38281
raw,2009,pearson,kndvi_mean,nbr_mean,0.9235238274863272,38281
raw,2009,pearson,kndvi_mean,ndmi_mean,0.8873319179961089,38281
raw,2009,pearson,kndvi_mean,bsi_mean,-0.9312807751317802,38281
raw,2009,pearson,nbr_mean,ndmi_mean,0.9845300164435912,38281
raw,2009,pearson,nbr_mean,bsi_mean,-0.985381129237608,38281
raw,2009,pearson,ndmi_mean,bsi_mean,-0.9908361083758898,38281
raw,2009,spearman,kndvi_mean,nbr_mean,0.9250408058923923,38281
raw,2009,spearman,kndvi_mean,ndmi_mean,0.8990623144616715,38281
raw,2009,spearman,kndvi_mean,bsi_mean,-0.9375672123117726,38281
raw,2009,spearman,nbr_mean,ndmi_mean,0.9917991011503904,38281
raw,2009,spearman,nbr_mean,bsi_mean,-0.9930631929943323,38281
raw,2009,spearman,ndmi_mean,bsi_mean,-0.9922296927005461,38281
raw,2010,pearson,kndvi_mean,nbr_mean,0.9018315196904144,38281
raw,2010,pearson,kndvi_mean,ndmi_mean,0.8533383902583307,38281
raw,2010,pearson,kndvi_mean,bsi_mean,-0.9154392250096357,38281
raw,2010,pearson,nbr_mean,ndmi_mean,0.9807307362977252,38281
raw,2010,pearson,nbr_mean,bsi_mean,-0.9824157849744857,38281
raw,2010,pearson,ndmi_mean,bsi_mean,-0.9857453500163156,38281
raw,2010,spearman,kndvi_mean,nbr_mean,0.8977122184578636,38281
raw,2010,spearman,kndvi_mean,ndmi_mean,0.8615609465122057,38281
raw,2010,spearman,kndvi_mean,bsi_mean,-0.9179588910092799,38281
raw,2010,spearman,nbr_mean,ndmi_mean,0.9888857832127353,38281
raw,2010,spearman,nbr_mean,bsi_mean,-0.9914936049568416,38281
raw,2010,spearman,ndmi_mean,bsi_mean,-0.9870352309875277,38281
raw,2011,pearson,kndvi_mean,nbr_mean,0.8981436919815661,38281
raw,2011,pearson,kndvi_mean,ndmi_mean,0.8424453651921363,38281
raw,2011,pearson,kndvi_mean,bsi_mean,-0.9040045880021392,38281
raw,2011,pearson,nbr_mean,ndmi_mean,0.9769127174186547,38281
raw,2011,pearson,nbr_mean,bsi_mean,-0.9804770119725076,38281
raw,2011,pearson,ndmi_mean,bsi_mean,-0.9849827446622988,38281
raw,2011,spearman,kndvi_mean,nbr_mean,0.9040204338160706,38281
raw,2011,spearman,kndvi_mean,ndmi_mean,0.862434966305294,38281
raw,2011,spearman,kndvi_mean,bsi_mean,-0.911407399153574,38281
raw,2011,spearman,nbr_mean,ndmi_mean,0.9865234644994996,38281
raw,2011,spearman,nbr_mean,bsi_mean,-0.9904180975213134,38281
raw,2011,spearman,ndmi_mean,bsi_mean,-0.9878361359056942,38281
raw,2012,pearson,kndvi_mean,nbr_mean,0.9176320921417837,38281
raw,2012,pearson,kndvi_mean,ndmi_mean,0.866034929822115,38281
raw,2012,pearson,kndvi_mean,bsi_mean,-0.9280238412188381,38281
raw,2012,pearson,nbr_mean,ndmi_mean,0.9772047923037265,38281
raw,2012,pearson,nbr_mean,bsi_mean,-0.9786003689254013,38281
raw,2012,pearson,ndmi_mean,bsi_mean,-0.9825200402356281,38281
raw,2012,spearman,kndvi_mean,nbr_mean,0.9177115532989416,38281
raw,2012,spearman,kndvi_mean,ndmi_mean,0.8753213606554108,38281
raw,2012,spearman,kndvi_mean,bsi_mean,-0.9299964163184175,38281
raw,2012,spearman,nbr_mean,ndmi_mean,0.985342161765529,38281
raw,2012,spearman,nbr_mean,bsi_mean,-0.9888472687755567,38281
raw,2012,spearman,ndmi_mean,bsi_mean,-0.9839513531903123,38281
raw,2013,pearson,kndvi_mean,nbr_mean,0.9407711396023372,38281
raw,2013,pearson,kndvi_mean,ndmi_mean,0.901793586746452,38281
raw,2013,pearson,kndvi_mean,bsi_mean,-0.9509516232506077,38281
