classification,class,n,fraction
original_trend_class,significant_improvement,30153,0.7878399916390144
original_trend_class,no_significant_monotonic_trend,7390,0.1930865100723748
original_trend_class,significant_decline,730,0.01907349828861077
modified_trend_class,significant_improvement,28214,0.7371776448148826
modified_trend_class,no_significant_monotonic_trend,9440,0.2466490737595694
modified_trend_class,significant_decline,562,0.014683980874245552
modified_trend_class,unevaluable_variance,57,0.0014893005513024848
original_status,consolidated_recovery,18702,0.4886473493062995
original_status,advancing_recovery,11451,0.299192642332715
original_status,stalled_recovery,5545,0.14488020275389962
original_status,high_state_monitoring,1845,0.04820630731847517
original_status,renewed_decline,730,0.01907349828861077
modified_status,consolidated_recovery,17602,0.45990646147414627
modified_status,advancing_recovery,10612,0.2772711833407363
modified_status,stalled_recovery,6509,0.1700676717268048
modified_status,high_state_monitoring,2931,0.07658140203276462
modified_status,renewed_decline,562,0.014683980874245552
modified_status,unevaluable_variance,57,0.0014893005513024848
