original_trend_class,modified_trend_class,n
no_significant_monotonic_trend,no_significant_monotonic_trend,7178
no_significant_monotonic_trend,significant_decline,14
no_significant_monotonic_trend,significant_improvement,183
no_significant_monotonic_trend,unevaluable_variance,15
significant_decline,no_significant_monotonic_trend,180
significant_decline,significant_decline,548
significant_decline,unevaluable_variance,2
significant_improvement,no_significant_monotonic_trend,2082
significant_improvement,significant_improvement,28031
significant_improvement,unevaluable_variance,40
