original_status,modified_status,n
advancing_recovery,advancing_recovery,10457
advancing_recovery,stalled_recovery,977
advancing_recovery,unevaluable_variance,17
consolidated_recovery,consolidated_recovery,17574
consolidated_recovery,high_state_monitoring,1105
consolidated_recovery,unevaluable_variance,23
high_state_monitoring,consolidated_recovery,28
high_state_monitoring,high_state_monitoring,1816
high_state_monitoring,unevaluable_variance,1
renewed_decline,high_state_monitoring,10
renewed_decline,renewed_decline,548
renewed_decline,stalled_recovery,170
renewed_decline,unevaluable_variance,2
stalled_recovery,advancing_recovery,155
stalled_recovery,renewed_decline,14
stalled_recovery,stalled_recovery,5362
stalled_recovery,unevaluable_variance,14
