feature,bins,boundary,degree,r2,typed_turning_x,n_retained_bins
forest_frac_slope_2000_2025,30,upper,3,0.979706836961087,0.021394052912944557,24
forest_frac_slope_2000_2025,30,lower,3,0.9895035743244908,-0.03382563607037652,24
forest_frac_slope_2000_2025,40,upper,2,0.9834979489934522,,30
forest_frac_slope_2000_2025,40,lower,3,0.9903378096362421,-0.03126462624997198,30
forest_frac_slope_2000_2025,60,upper,3,0.9559697368653722,0.021029642954182012,40
forest_frac_slope_2000_2025,60,lower,3,0.9874539909835368,-0.03222480756934083,40
built_frac_slope_2000_2025,30,upper,3,0.9551430525919897,,21
built_frac_slope_2000_2025,30,lower,3,0.9072645863659163,0.02010708196252567,21
built_frac_slope_2000_2025,40,upper,3,0.9421389074247515,,24
built_frac_slope_2000_2025,40,lower,3,0.9325072933192329,0.017523905252959385,24
built_frac_slope_2000_2025,60,upper,2,0.8929602005115912,,27
built_frac_slope_2000_2025,60,lower,3,0.9353474552566067,0.016583779034862033,27
mndwi_mean_2000_2025,30,upper,2,0.584107624033512,-0.3077875566584638,17
mndwi_mean_2000_2025,30,lower,2,0.30342178797522756,-0.014529352203212081,17
mndwi_mean_2000_2025,40,upper,3,0.26068141475895756,-0.3841529481175069,19
mndwi_mean_2000_2025,40,lower,2,0.3030641236425282,-0.1440224065834752,19
mndwi_mean_2000_2025,60,upper,3,0.2790027934738539,-0.4049018339452735,26
mndwi_mean_2000_2025,60,lower,2,0.3566078155630582,-0.22305265974208965,26
ssrd_wm2_slope_2000_2025,30,upper,3,0.5931656756757773,-0.12395422715281171,30
ssrd_wm2_slope_2000_2025,30,lower,2,0.14779893972114455,-0.10377012177293343,30
ssrd_wm2_slope_2000_2025,40,upper,3,0.4173770736656236,-0.12308610422955515,39
ssrd_wm2_slope_2000_2025,40,lower,2,0.13812557775818923,-0.10123158516615777,39
ssrd_wm2_slope_2000_2025,60,upper,3,0.3657258273574103,-0.12442046548263459,56
ssrd_wm2_slope_2000_2025,60,lower,2,0.06368396159780154,-0.10699473545371709,56
slope_mean,30,upper,3,0.8071518795093231,13.496466936385312,26
slope_mean,30,lower,3,0.8996311538535782,25.852008008190317,26
slope_mean,40,upper,3,0.732990753761568,13.57885820164467,34
slope_mean,40,lower,3,0.9137465569113465,24.5873476699175,34
slope_mean,60,upper,3,0.7550893486312864,13.566515780189324,50
slope_mean,60,lower,3,0.8903363091712195,25.091296912354558,50
ntl_viirs_slope_2014_2025,30,upper,2,0.9438715925513362,,15
ntl_viirs_slope_2014_2025,30,lower,2,0.5547264468404236,1.582441752438839,15
ntl_viirs_slope_2014_2025,40,upper,3,0.9032943560037839,,20
ntl_viirs_slope_2014_2025,40,lower,2,0.5669318776808784,1.5903179435367747,20
ntl_viirs_slope_2014_2025,60,upper,2,0.8297557637750758,,23
ntl_viirs_slope_2014_2025,60,lower,2,0.5497009235886325,1.4450709045449934,23
