feature,boundary,estimate,ci_low,ci_high,successful_fits,turning_support,no_typed_turn,multiple_typed_turns,legacy_untyped_support,stable,original_reported_supported
forest_frac_slope_2000_2025,upper,0.021029642954182012,0.014681152018900379,0.023775868556059915,1000,0.542,458,0,0.542,False,False
forest_frac_slope_2000_2025,lower,-0.03222480756934083,-0.032960484386592354,-0.023278044536938453,1000,0.779,221,0,0.893,False,False
built_frac_slope_2000_2025,upper,,-0.004207078014021464,-0.0010140106444417032,1000,0.039,961,0,0.167,False,False
built_frac_slope_2000_2025,lower,0.016583779034862033,0.012259900496474758,0.019877186467472753,1000,0.926,74,0,0.926,True,True
mndwi_mean_2000_2025,upper,-0.4049018339452735,-0.49700315099831693,-0.25806291896590694,1000,0.921,79,0,0.936,False,False
mndwi_mean_2000_2025,lower,-0.22305265974208965,-0.31605548631935304,-0.04369678699147437,1000,0.911,89,0,0.911,True,True
ssrd_wm2_slope_2000_2025,upper,-0.12442046548263459,-0.13167083456780654,-0.12056485042339342,1000,0.996,4,0,0.997,True,True
ssrd_wm2_slope_2000_2025,lower,-0.10699473545371709,-0.11584751808774459,-0.09283208523746747,1000,0.99,10,0,0.992,False,False
slope_mean,upper,13.566515780189324,12.74814430557088,16.48959570403897,1000,1.0,0,0,1.0,True,True
slope_mean,lower,25.091296912354558,21.348587911091474,29.524608250821018,1000,0.508,492,0,0.809,False,True
ntl_viirs_slope_2014_2025,upper,,-0.12896223278976943,0.17185743254391608,1000,0.341,659,0,0.369,False,False
ntl_viirs_slope_2014_2025,lower,1.4450709045449934,0.8410412722525118,1.8245413753375523,1000,0.957,43,0,0.957,True,True
