feature,field,max_absolute_error
forest_frac_slope_2000_2025,supported_x_min,0.0
forest_frac_slope_2000_2025,supported_x_max,0.0
forest_frac_slope_2000_2025,n_boundary_bins,0.0
forest_frac_slope_2000_2025,upper_degree,0.0
forest_frac_slope_2000_2025,upper_r2,0.0
forest_frac_slope_2000_2025,upper_adjusted_r2,1.1102230246251565e-16
forest_frac_slope_2000_2025,upper_turning_x,1.3877787807814457e-17
forest_frac_slope_2000_2025,lower_degree,0.0
forest_frac_slope_2000_2025,lower_r2,0.0
forest_frac_slope_2000_2025,lower_adjusted_r2,1.1102230246251565e-16
forest_frac_slope_2000_2025,lower_turning_x,3.469446951953614e-17
built_frac_slope_2000_2025,supported_x_min,9.974659986866641e-17
built_frac_slope_2000_2025,supported_x_max,4.85722573273506e-17
built_frac_slope_2000_2025,n_boundary_bins,0.0
built_frac_slope_2000_2025,upper_degree,0.0
built_frac_slope_2000_2025,upper_r2,0.0
built_frac_slope_2000_2025,upper_adjusted_r2,0.0
built_frac_slope_2000_2025,upper_turning_x,0.0
built_frac_slope_2000_2025,lower_degree,0.0
built_frac_slope_2000_2025,lower_r2,1.1102230246251565e-16
built_frac_slope_2000_2025,lower_adjusted_r2,0.0
built_frac_slope_2000_2025,lower_turning_x,3.469446951953614e-17
mndwi_mean_2000_2025,supported_x_min,0.0
mndwi_mean_2000_2025,supported_x_max,0.0
mndwi_mean_2000_2025,n_boundary_bins,0.0
mndwi_mean_2000_2025,upper_degree,0.0
mndwi_mean_2000_2025,upper_r2,0.0
mndwi_mean_2000_2025,upper_adjusted_r2,0.0
mndwi_mean_2000_2025,upper_turning_x,0.0
mndwi_mean_2000_2025,lower_degree,0.0
mndwi_mean_2000_2025,lower_r2,0.0
mndwi_mean_2000_2025,lower_adjusted_r2,5.551115123125783e-17
mndwi_mean_2000_2025,lower_turning_x,5.551115123125783e-17
ssrd_wm2_slope_2000_2025,supported_x_min,0.0
ssrd_wm2_slope_2000_2025,supported_x_max,0.0
ssrd_wm2_slope_2000_2025,n_boundary_bins,0.0
ssrd_wm2_slope_2000_2025,upper_degree,0.0
ssrd_wm2_slope_2000_2025,upper_r2,0.0
ssrd_wm2_slope_2000_2025,upper_adjusted_r2,0.0
ssrd_wm2_slope_2000_2025,upper_turning_x,9.71445146547012e-17
ssrd_wm2_slope_2000_2025,lower_degree,0.0
ssrd_wm2_slope_2000_2025,lower_r2,4.163336342344337e-17
ssrd_wm2_slope_2000_2025,lower_adjusted_r2,6.938893903907228e-18
ssrd_wm2_slope_2000_2025,lower_turning_x,8.326672684688674e-17
slope_mean,supported_x_min,0.0
slope_mean,supported_x_max,0.0
slope_mean,n_boundary_bins,0.0
slope_mean,upper_degree,0.0
slope_mean,upper_r2,0.0
slope_mean,upper_adjusted_r2,0.0
slope_mean,upper_turning_x,0.0
slope_mean,lower_degree,0.0
slope_mean,lower_r2,0.0
slope_mean,lower_adjusted_r2,0.0
slope_mean,lower_turning_x,3.552713678800501e-15
ntl_viirs_slope_2014_2025,supported_x_min,0.0
ntl_viirs_slope_2014_2025,supported_x_max,4.440892098500626e-16
ntl_viirs_slope_2014_2025,n_boundary_bins,0.0
ntl_viirs_slope_2014_2025,upper_degree,0.0
ntl_viirs_slope_2014_2025,upper_r2,0.0
ntl_viirs_slope_2014_2025,upper_adjusted_r2,0.0
ntl_viirs_slope_2014_2025,upper_turning_x,0.0
ntl_viirs_slope_2014_2025,lower_degree,0.0
ntl_viirs_slope_2014_2025,lower_r2,0.0
ntl_viirs_slope_2014_2025,lower_adjusted_r2,0.0
ntl_viirs_slope_2014_2025,lower_turning_x,0.0
