threshold,class,n,fraction
0.65,consolidated_recovery,22466,0.5869934418519583
0.65,advancing_recovery,5748,0.15018420296292426
0.65,stalled_recovery,5348,0.13973297102395946
0.65,high_state_monitoring,4092,0.10691610273560996
0.65,renewed_decline,562,0.014683980874245552
0.65,unevaluable_variance,57,0.0014893005513024848
0.7,consolidated_recovery,20282,0.5299297154652105
0.7,advancing_recovery,7932,0.2072479293496721
0.7,stalled_recovery,5907,0.15433856765866277
0.7,high_state_monitoring,3533,0.09231050610090664
0.7,renewed_decline,562,0.014683980874245552
0.7,unevaluable_variance,57,0.0014893005513024848
0.75,consolidated_recovery,17602,0.45990646147414627
0.75,advancing_recovery,10612,0.2772711833407363
0.75,stalled_recovery,6509,0.1700676717268048
0.75,high_state_monitoring,2931,0.07658140203276462
0.75,renewed_decline,562,0.014683980874245552
0.75,unevaluable_variance,57,0.0014893005513024848
0.8,consolidated_recovery,14385,0.3758524286050218
0.8,advancing_recovery,13829,0.36132521620986074
0.8,stalled_recovery,7116,0.1859274161941839
0.8,high_state_monitoring,2324,0.06072165756538552
0.8,renewed_decline,562,0.014683980874245552
0.8,unevaluable_variance,57,0.0014893005513024848
0.85,consolidated_recovery,10926,0.28547540041282365
0.85,advancing_recovery,17288,0.4517022444020589
0.85,stalled_recovery,7667,0.2003239881901079
0.85,high_state_monitoring,1773,0.0463250855694615
0.85,renewed_decline,562,0.014683980874245552
0.85,unevaluable_variance,57,0.0014893005513024848
