definition,class,n,fraction
2025,consolidated_recovery,17602,0.45990646147414627
2025,advancing_recovery,10612,0.2772711833407363
2025,stalled_recovery,6509,0.1700676717268048
2025,high_state_monitoring,2931,0.07658140203276462
2025,renewed_decline,562,0.014683980874245552
2025,unevaluable_variance,57,0.0014893005513024848
2023_2025_mean,consolidated_recovery,20845,0.5446398244193035
2023_2025_mean,advancing_recovery,7369,0.19253782039557912
2023_2025_mean,stalled_recovery,6522,0.17040733676482114
2023_2025_mean,high_state_monitoring,2918,0.07624173699474826
2023_2025_mean,renewed_decline,562,0.014683980874245552
2023_2025_mean,unevaluable_variance,57,0.0014893005513024848
