source,target,effect_type,estimate,ci_low,ci_high,successful_draws,ci_excludes_zero
Terrain,REGAIN,direct,-0.4347471761867726,-0.4985235487940186,-0.350998273076373,1000.0,True
Climate,REGAIN,direct,-0.0339778465794249,-0.1294084403367257,0.0470685624314734,1000.0,False
Human,REGAIN,direct,0.0969695051687137,0.0453793133867711,0.1621203677547403,1000.0,True
Hydrology,REGAIN,direct,-0.1293019468139974,-0.1809919120528807,-0.0594199148792366,1000.0,True
LandCover,REGAIN,direct,0.7507469034747157,0.6925967273339088,0.7939206281390905,1000.0,True
Terrain,REGAIN,total,-0.1234012037985146,-0.1707782023765726,-0.0688769320307475,1000.0,True
Climate,REGAIN,total,-0.0483231097583237,-0.1345549946666668,0.0335725228812767,1000.0,False
Human,REGAIN,total,-0.3824883602382811,-0.4647593783677344,-0.2858378245140108,1000.0,True
Hydrology,REGAIN,total,-0.0470784725432797,-0.1099588871418226,0.0133054804298106,1000.0,False
LandCover,REGAIN,total,0.7507469034747157,0.6925967273339088,0.7939206281390905,1000.0,True
Terrain,REGAIN,indirect,0.3113459723882579,0.2396163493000926,0.369623529645935,1000.0,True
Climate,REGAIN,indirect,-0.0143452631788987,-0.0336967689272873,0.0174733920509755,1000.0,False
Human,REGAIN,indirect,-0.4794578654069948,-0.5383325427132092,-0.4117602642063145,1000.0,True
Hydrology,REGAIN,indirect,0.0822234742707177,0.0186947199699555,0.1225749715448813,1000.0,True
LandCover,REGAIN,indirect,0.0,0.0,0.0,,False
