source,target,kind,estimate,ci_low,ci_high,successful_draws,ci_excludes_zero,path
Terrain,Hydrology,direct,-0.8268680858333967,-0.8646930074583421,-0.7320096070889353,1000,True,Terrain -> Hydrology
Terrain,LandCover,direct,0.3628630163529017,0.2580489376411633,0.4613417076061473,1000,True,Terrain -> LandCover
Terrain,REGAIN,direct,-0.4347471761867726,-0.4985235487940186,-0.350998273076373,1000,True,Terrain -> REGAIN
Climate,Hydrology,direct,-0.0410542450171628,-0.0855374326325404,-0.0157275310868848,1000,True,Climate -> Hydrology
Climate,LandCover,direct,-0.0216824528351485,-0.0485804369989751,0.021563607886435,1000,False,Climate -> LandCover
Climate,REGAIN,direct,-0.0339778465794249,-0.1294084403367257,0.0470685624314734,1000,False,Climate -> REGAIN
Human,Hydrology,direct,0.0018868361768619,-0.0531083748364958,0.1109738233991745,1000,False,Human -> Hydrology
Human,LandCover,direct,-0.638522828163744,-0.6936569303637593,-0.5783947952514704,1000,True,Human -> LandCover
Human,REGAIN,direct,0.0969695051687137,0.0453793133867711,0.1621203677547403,1000,True,Human -> REGAIN
Hydrology,LandCover,direct,0.1095222289831088,0.0245881976947074,0.1699291683183158,1000,True,Hydrology -> LandCover
Hydrology,REGAIN,direct,-0.1293019468139974,-0.1809919120528807,-0.0594199148792366,1000,True,Hydrology -> REGAIN
LandCover,REGAIN,direct,0.7507469034747157,0.6925967273339088,0.7939206281390905,1000,True,LandCover -> REGAIN
