construct,variable,estimate,ci_low,ci_high,ci_excludes_zero
LandCover,barren_frac_slope_2000_2025,-0.0263930828925333,-0.06198806412009521,0.010852586508040024,False
LandCover,built_frac_slope_2000_2025,-0.449256197503478,-0.5355592718834816,-0.34790321761254567,True
LandCover,cropland_frac_mean_2000_2025,-0.7309882093307511,-0.8193425064091258,-0.6454992248005866,True
Terrain,elevation_mean,0.2868972658106984,0.1971958218892544,0.3847116776754437,True
LandCover,forest_frac_slope_2000_2025,0.2838202345175764,0.24309759851902238,0.3209559534476234,True
Hydrology,hydro_hand_m,-0.8195543529455779,-0.8762836511699796,-0.7018432290464329,True
Human,mining_disturbance_intensity_2000_2025,0.1093912888081697,0.05962578995304847,0.1680627607644247,True
Human,mkde3k,-0.0460290463286871,-0.09113387249701907,0.020107690941783326,False
Hydrology,mndwi_mean_2000_2025,0.318490678147378,0.25280845273156966,0.40252845093988576,True
Hydrology,mndwi_slope_2000_2025,0.1504853583798575,0.07506512423105814,0.266770733744403,True
Human,ntl_viirs_slope_2014_2025,0.40470308850391,0.28762234743034776,0.49574013018240004,True
Hydrology,pdsi_slope_2000_2025,0.0074909038275643,-0.08058930899413869,0.09462120904557236,False
Human,pop_log_change_2000_2020_per_year,0.2599618091083158,0.22179384324425302,0.2871347630521773,True
Human,pop_log_density_2000,0.7047919555662032,0.605229036639867,0.8033715981482219,True
Climate,prcp_mm_mean_2000_2025,-0.3649907267689564,-0.8256609064503038,0.03680811089981216,False
Climate,prcp_mm_slope_2000_2025,0.0040658787271146,-0.3371468971000931,0.3786317706509006,False
REGAIN,regain_sen_slope_2000_2025,1.0,0.9999999999999998,1.0000000000000002,True
Human,road_dist_km,-0.0745682703370733,-0.11059403263083169,-0.040911856659266665,True
Terrain,slope_mean,0.6554464356589416,0.6190787745028925,0.7027470134269009,True
Hydrology,soil_water_rootzone_mean_2000_2025,-0.0405296417997024,-0.11838135095127555,0.014729234792878068,False
Hydrology,soil_water_rootzone_slope_2000_2025,-0.053077252103591,-0.13884270639147409,0.012709533649884211,False
Climate,ssrd_wm2_slope_2000_2025,0.1624496732513139,-0.1207810316202753,0.47534070468075246,False
Terrain,terrain_northness_mean,-0.0048445487643594,-0.020811914331032976,0.010672396043003317,False
Terrain,terrain_tpi_5km,0.2127140220035867,0.08206032802868247,0.29246661664498547,True
Climate,tmean_c_mean_2000_2025,-1.0240613307875064,-1.1868253219236375,-0.7663080262212554,True
Climate,vpd_kpa_slope_2000_2025,-0.5345740059317896,-0.836246350211345,-0.16869699682826161,True
