panel,feature_x,feature_y,fixed_x_position,fixed_x,y_low,y_high,prediction_at_y_low,prediction_at_y_high,difference_high_minus_low,range_across_y,surface_min,surface_max,x_low_mean_over_y,x_high_mean_over_y,y_low_mean_over_x,y_high_mean_over_x,background_rows
a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,5th percentile,-0.009234323892076339,-0.00524693401924186,-9.401585321801976e-05,0.0025526448152959347,0.008927120827138424,0.006374476011842489,0.006502887699753046,0.0025526448152959347,0.02821960486471653,0.007068340183894445,0.02672563902125126,0.014050932765779336,0.01952976681201196,1200
a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,50th grid percentile,-0.0016471284363149888,-0.00524693401924186,-9.401585321801976e-05,0.013516136445105076,0.01947077549993992,0.005954639054834843,0.006736692972481251,0.0025526448152959347,0.02821960486471653,0.007068340183894445,0.02672563902125126,0.014050932765779336,0.01952976681201196,1200
a,forest_frac_slope_2000_2025,mndwi_slope_2000_2025,95th percentile,0.005940067019446362,-0.00524693401924186,-9.401585321801976e-05,0.023286694660782814,0.027576837688684464,0.0042901430279016495,0.004890419542789459,0.0025526448152959347,0.02821960486471653,0.007068340183894445,0.02672563902125126,0.014050932765779336,0.01952976681201196,1200
b,forest_frac_slope_2000_2025,slope_mean,5th percentile,-0.009234323892076339,5.396902513599043,23.39435141837888,0.01062107179313898,0.004621211439371109,-0.005999860353767872,0.006224894896149635,0.00439763069152832,0.028189172968268394,0.0076205527591632636,0.027062559091463323,0.0204967657649299,0.017064527971897184,1200
b,forest_frac_slope_2000_2025,slope_mean,50th grid percentile,-0.0016471284363149888,5.396902513599043,23.39435141837888,0.02025577239692211,0.017621494829654694,-0.002634277567267418,0.0029572807252407074,0.00439763069152832,0.028189172968268394,0.0076205527591632636,0.027062559091463323,0.0204967657649299,0.017064527971897184,1200
b,forest_frac_slope_2000_2025,slope_mean,95th percentile,0.005940067019446362,5.396902513599043,23.39435141837888,0.02818482369184494,0.025834156200289726,-0.002350667491555214,0.0025502461940050125,0.00439763069152832,0.028189172968268394,0.0076205527591632636,0.027062559091463323,0.0204967657649299,0.017064527971897184,1200
c,mndwi_mean_2000_2025,terrain_northness_mean,5th percentile,-0.5129406710477283,-0.5583033253086033,0.5662927548702388,0.0185847170650959,0.014137319289147854,-0.004447397775948048,0.004447397775948048,0.014137319289147854,0.022938013076782227,0.016326169165351043,0.021955922018827463,0.021855350583791733,0.019464392692032383,1200
c,mndwi_mean_2000_2025,terrain_northness_mean,50th grid percentile,-0.4380744713189078,-0.5583033253086033,0.5662927548702388,0.02255646325647831,0.0206199549138546,-0.0019365083426237106,0.0019365083426237106,0.014137319289147854,0.022938013076782227,0.016326169165351043,0.021955922018827463,0.021855350583791733,0.019464392692032383,1200
c,mndwi_mean_2000_2025,terrain_northness_mean,95th percentile,-0.3632082715900873,-0.5583033253086033,0.5662927548702388,0.022722424939274788,0.021205024793744087,-0.0015174001455307007,0.0015174001455307007,0.014137319289147854,0.022938013076782227,0.016326169165351043,0.021955922018827463,0.021855350583791733,0.019464392692032383,1200
d,ssrd_wm2_slope_2000_2025,pdsi_slope_2000_2025,5th percentile,-0.1328756213188171,0.001622395706363,0.04007569676365067,0.021374352276325226,0.020391931757330894,-0.0009824205189943314,0.0017280075699090958,0.017850030213594437,0.02211993932723999,0.021680761310385495,0.020042577576709956,0.020707508912537156,0.018803590817785844,1200
