group,universe,n,eci2000,eci2025,eci_change,regain_2025,regain_slope,sig_improvement_pct,consolidated_recovery_pct,advancing_recovery_pct,high_position_monitoring_pct,stalled_recovery_pct,significant_decline_pct
no footprint,Lingbei mining area (primary),1494,0.67121002252693,0.8461045454059462,0.1875255744045366,0.8520827336057535,0.0213263034820556,74.8995983935743,59.63855421686747,15.261044176706829,12.650602409638552,11.579651941097724,0.8032128514056224
0-10%,Lingbei mining area (primary),157,0.564630747406568,0.7864411881524185,0.2175023247384153,0.8553319088317923,0.0285566356033086,90.44585987261146,65.60509554140127,24.840764331210192,6.369426751592357,3.1847133757961785,0.0
10-25%,Lingbei mining area (primary),71,0.4993666132864112,0.714045315918205,0.1968627632265337,0.8797640153336729,0.0287686008960008,57.74647887323944,43.66197183098591,14.084507042253522,32.3943661971831,9.859154929577464,0.0
>=25%,Lingbei mining area (primary),32,0.3924734847112699,0.5736826415994001,0.1853433436991685,0.8885818755868549,0.0253754267469048,43.75,34.375,9.375,50.0,6.25,0.0
no footprint,Footprint extent + 1 km,476,0.6421781017806912,0.8341029557156877,0.2038900927444169,0.8397648629366352,0.0236949482932686,80.25210084033614,61.97478991596639,18.277310924369747,10.294117647058822,9.453781512605042,0.0
0-10%,Footprint extent + 1 km,157,0.564630747406568,0.7864411881524185,0.2175023247384153,0.8553319088317923,0.0285566356033086,90.44585987261146,65.60509554140127,24.840764331210192,6.369426751592357,3.1847133757961785,0.0
10-25%,Footprint extent + 1 km,71,0.4993666132864112,0.714045315918205,0.1968627632265337,0.8797640153336729,0.0287686008960008,57.74647887323944,43.66197183098591,14.084507042253522,32.3943661971831,9.859154929577464,0.0
>=25%,Footprint extent + 1 km,32,0.3924734847112699,0.5736826415994001,0.1853433436991685,0.8885818755868549,0.0253754267469048,43.75,34.375,9.375,50.0,6.25,0.0
no footprint,Eleven sub-mining areas,463,0.5863383362236875,0.8112533266520752,0.2121058992096368,0.8274375324814761,0.0249404944479465,83.58531317494601,62.634989200863934,20.950323974082075,8.207343412526997,7.991360691144708,0.0
0-10%,Eleven sub-mining areas,117,0.5754903387327148,0.8045072833242919,0.2205042120306238,0.8837290280981851,0.0285566356033086,90.5982905982906,72.64957264957265,17.94871794871795,6.837606837606838,2.564102564102564,0.0
10-25%,Eleven sub-mining areas,60,0.508887292121224,0.7211559822992881,0.2013335725441238,0.9061334127656842,0.0281805545091628,55.00000000000001,46.66666666666666,8.333333333333332,33.33333333333333,11.666666666666666,0.0
>=25%,Eleven sub-mining areas,28,0.3966750156683215,0.5853613163592557,0.1696517540964228,0.8885818755868549,0.0258452091366052,42.85714285714285,32.142857142857146,10.714285714285714,50.0,7.142857142857142,0.0
