elevation_bin,slope_bin,dominant_cover,n_ROI5,n_BG15,common_support,ROI5_eci_2000,ROI5_eci_2025,ROI5_eci_change,BG15_eci_2000,BG15_eci_2025,BG15_eci_change,ROI5_full_weight
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",built,169,677,True,0.24035123845600834,0.029105532598123943,-0.21124570585788438,0.19222590489112565,0.03493066134004765,-0.157295243551078,0.004414722708393198
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",cropland,650,3980,True,0.2781147085421411,0.20238071721373996,-0.07573399132840113,0.3068407706724094,0.1760866924948473,-0.13075407817756213,0.01697970272458922
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",forest,8,46,False,0.21025915829859324,0.40492675775181164,0.19466759945321838,0.23486852412595957,0.41006497298177963,0.17519644885581998,0.0002089809566103289
"[-1000000000.0, 200.0)","[-1000000000.0, 5.0)",water,40,282,True,0.4204063572114535,0.3771023127699093,-0.04330404444154414,0.44304685966326196,0.3824640971956318,-0.060582762467630225,0.0010449047830516445
"[-1000000000.0, 200.0)","[15.0, 25.0)",cropland,2,0,False,0.32584181734823514,0.13620463214851977,-0.18963718519971534,,,,5.2245239152582224e-05
"[-1000000000.0, 200.0)","[15.0, 25.0)",forest,307,723,True,0.45828301421722967,0.5994542997316978,0.14117128551446817,0.46835298497290556,0.6122153025524644,0.14386231757955886,0.008019644209921371
"[-1000000000.0, 200.0)","[25.0, 1000000000.0)",forest,0,1,False,,,,0.4240706615871132,0.5711698531131972,0.14709919152608403,0.0
"[-1000000000.0, 200.0)","[5.0, 15.0)",built,209,714,True,0.17254541728792916,0.11065811121095104,-0.06188730607697811,0.1659311202982163,0.1014672368237462,-0.06446388347447007,0.005459627491444842
"[-1000000000.0, 200.0)","[5.0, 15.0)",cropland,1077,3095,True,0.23747438028656276,0.2712085968874006,0.03373421660083786,0.25146067555844503,0.22649577867950912,-0.024964896878935907,0.028134061283665527
"[-1000000000.0, 200.0)","[5.0, 15.0)",forest,1654,4317,True,0.3292688884108119,0.5008059412217059,0.17153705281089396,0.3453802228742511,0.48282176705817786,0.13744154418392676,0.0432068127791855
"[-1000000000.0, 200.0)","[5.0, 15.0)",water,37,114,True,0.3334874941140084,0.4253620529438725,0.09187455882986421,0.3653220598545979,0.3946537870823835,0.02933172722778563,0.000966536924322771
"[1000.0, 1000000000.0)","[15.0, 25.0)",cropland,0,1,False,,,,0.07938211269526671,0.045702278854325165,-0.033679833840941545,0.0
"[1000.0, 1000000000.0)","[15.0, 25.0)",forest,19,235,False,0.5261426431621737,0.5683375223356101,0.042194879173436395,0.4444078808349078,0.6624279089456715,0.2180200281107637,0.0004963297719495311
"[1000.0, 1000000000.0)","[15.0, 25.0)",other_cover_combined,0,1,False,,,,0.030967440573436044,0.20049611932431577,0.16952867875087974,0.0
"[1000.0, 1000000000.0)","[25.0, 1000000000.0)",forest,6,220,False,0.34778960431472944,0.4875151242632061,0.1397255199484766,0.4487494597150334,0.5640155993053,0.11526613959026666,0.00015673571745774666
"[1000.0, 1000000000.0)","[25.0, 1000000000.0)",other_cover_combined,0,7,False,,,,0.23731539942030114,0.12784729971349162,-0.10946809970680953,0.0
"[1000.0, 1000000000.0)","[5.0, 15.0)",forest,2,0,False,0.27916822110561207,0.8180305365679943,0.5388623154623822,,,,5.2245239152582224e-05
"[200.0, 500.0)","[-1000000000.0, 5.0)",built,90,104,True,0.1956699774568618,0.024764910099493352,-0.1709050673573684,0.21111028382720348,0.027559015735640586,-0.18355126809156289,0.0023510357618662
"[200.0, 500.0)","[-1000000000.0, 5.0)",cropland,600,868,True,0.2719270790699021,0.17376178301307707,-0.098165296056825,0.26685645290201854,0.1774085878754472,-0.08944786502657137,0.015673571745774665
"[200.0, 500.0)","[-1000000000.0, 5.0)",forest,10,15,False,0.2435925978390928,0.5079219404129456,0.2643293425738529,0.2624928736136755,0.42298801654655854,0.16049514293288292,0.0002612261957629111
