radius_km,trajectory_class,n,fraction_valid
1,gradual_recovery,1065,0.353938185443669
1,sustained_recovery,923,0.30674642738451313
1,rebound_after_early_decline,503,0.16716517115320703
1,temporary_recovery_with_late_setback,378,0.12562313060817548
1,persistent_decline,140,0.04652708541043536
2,sustained_recovery,3106,0.3459567832479394
2,gradual_recovery,2713,0.3021831142793495
2,rebound_after_early_decline,1596,0.1777678770327467
2,temporary_recovery_with_late_setback,1247,0.1388950768545333
2,persistent_decline,316,0.035197148585431055
3,sustained_recovery,6210,0.3675861252515686
3,gradual_recovery,4710,0.27879720610867764
3,rebound_after_early_decline,3021,0.17882088315378242
3,temporary_recovery_with_late_setback,2403,0.14223984846691132
3,persistent_decline,550,0.032555937019060024
5,sustained_recovery,13392,0.3791726832583029
5,gradual_recovery,9080,0.25708542144454827
5,rebound_after_early_decline,6332,0.17928027407344488
5,temporary_recovery_with_late_setback,5403,0.15297715110846852
5,persistent_decline,1112,0.031484470115235426
