configuration,cv,r2,rmse,mae,rank_spearman_vs_baseline,top5_overlap,top10_overlap,top5
baseline,spatial10,0.611990966163375,0.007749409095420531,0.005974925869884455,1.0,5.0,10.0,forest_frac_slope_2000_2025;mndwi_mean_2000_2025;mndwi_slope_2000_2025;built_frac_slope_2000_2025;forest_frac_mean_2000_2025
learning_rate_low,spatial10,0.6118144146887717,0.007751171959018303,0.005986624595396033,0.994944257194711,5.0,10.0,forest_frac_slope_2000_2025;mndwi_mean_2000_2025;mndwi_slope_2000_2025;built_frac_slope_2000_2025;forest_frac_mean_2000_2025
learning_rate_high,spatial10,0.6071621874627333,0.007797480755484183,0.006018361069382962,0.9939719989629248,5.0,10.0,forest_frac_slope_2000_2025;mndwi_mean_2000_2025;mndwi_slope_2000_2025;built_frac_slope_2000_2025;forest_frac_mean_2000_2025
leaves_low,spatial10,0.6116746498539212,0.007752567224342418,0.005984904863314172,0.9934534612393052,5.0,10.0,forest_frac_slope_2000_2025;mndwi_mean_2000_2025;mndwi_slope_2000_2025;built_frac_slope_2000_2025;forest_frac_mean_2000_2025
leaves_high,spatial10,0.6089126414441562,0.007780088883281342,0.0059955549543817075,0.9952683432719732,5.0,10.0,forest_frac_slope_2000_2025;mndwi_mean_2000_2025;mndwi_slope_2000_2025;built_frac_slope_2000_2025;forest_frac_mean_2000_2025
l2_low,spatial10,0.6128734817590566,0.007740591172408981,0.005970319526478086,0.9991573761991185,5.0,10.0,forest_frac_slope_2000_2025;mndwi_mean_2000_2025;mndwi_slope_2000_2025;built_frac_slope_2000_2025;forest_frac_mean_2000_2025
l2_high,spatial10,0.613211436305029,0.0077372117356814185,0.005967192105842992,0.9977313974591653,5.0,10.0,forest_frac_slope_2000_2025;mndwi_mean_2000_2025;mndwi_slope_2000_2025;built_frac_slope_2000_2025;forest_frac_mean_2000_2025
drop_forest,spatial10,0.6070997421716662,0.007798100472567658,0.006008859755399915,,,,
lightgbm,spatial10,0.6117194292778253,0.007752120220943698,0.005981252360670269,0.9954627949183305,5.0,9.0,forest_frac_slope_2000_2025;mndwi_mean_2000_2025;mndwi_slope_2000_2025;built_frac_slope_2000_2025;forest_frac_mean_2000_2025
drop_forest,random,0.708128262147933,0.006721151603399183,0.005153909516284722,,,,
