file,n_test,saved_additivity_max_error,stored_array_additivity_max_error,numeric_refined_rows,refinement_max_difference
baseline_spatial10_fold1.npz,7655,1.6832434597269241e-06,1.6832434597269241e-06,0,0.0
baseline_spatial10_fold2.npz,7655,4.15974653833473e-06,4.15974653833473e-06,0,0.0
baseline_spatial10_fold3.npz,7654,1.5635259060786666e-06,1.5635259060786666e-06,0,0.0
baseline_spatial10_fold4.npz,7655,1.6336907542324752e-06,1.6336907542324752e-06,0,0.0
baseline_spatial10_fold5.npz,7654,8.102960009637172e-07,8.102960009637172e-07,0,0.0
drop_forest_random_fold1.npz,7655,0.0,0.0,0,0.0
drop_forest_random_fold2.npz,7655,0.0,0.0,0,0.0
drop_forest_random_fold3.npz,7655,0.0,0.0,0,0.0
drop_forest_random_fold4.npz,7654,0.0,0.0,0,0.0
drop_forest_random_fold5.npz,7654,0.0,0.0,0,0.0
drop_forest_spatial10_fold1.npz,7655,0.0,0.0,0,0.0
drop_forest_spatial10_fold2.npz,7655,0.0,0.0,0,0.0
drop_forest_spatial10_fold3.npz,7654,0.0,0.0,0,0.0
drop_forest_spatial10_fold4.npz,7655,0.0,0.0,0,0.0
drop_forest_spatial10_fold5.npz,7654,0.0,0.0,0,0.0
l2_high_spatial10_fold1.npz,7655,1.0120047875261662e-06,1.0120047875261662e-06,0,0.0
l2_high_spatial10_fold2.npz,7655,9.605620654440372e-06,9.605620654440372e-06,0,0.0
l2_high_spatial10_fold3.npz,7654,1.6357264414068595e-06,1.6357264414068595e-06,0,0.0
l2_high_spatial10_fold4.npz,7655,9.525478901650786e-06,9.525478901650786e-06,20,2.846800350499721e-06
l2_high_spatial10_fold5.npz,7654,8.124964523403833e-07,8.124964523403833e-07,0,0.0
l2_low_spatial10_fold1.npz,7655,1.1734945530861296e-06,1.1734945530861296e-06,0,0.0
l2_low_spatial10_fold2.npz,7655,4.744933448819211e-06,4.744933448819211e-06,0,0.0
l2_low_spatial10_fold3.npz,7654,2.8226293515842826e-06,2.8226293515842826e-06,0,0.0
l2_low_spatial10_fold4.npz,7655,2.2518768787449517e-06,2.2518768787449517e-06,0,0.0
l2_low_spatial10_fold5.npz,7654,7.019895917892427e-07,7.019895917892427e-07,0,0.0
learning_rate_high_spatial10_fold1.npz,7655,1.3276328729716624e-06,1.3276328729716624e-06,0,0.0
learning_rate_high_spatial10_fold2.npz,7655,9.949442528522923e-06,9.949442528522923e-06,80,4.466113055459045e-06
learning_rate_high_spatial10_fold3.npz,7654,6.5401270958886926e-06,6.5401270958886926e-06,0,0.0
learning_rate_high_spatial10_fold4.npz,7655,2.6342253249822534e-06,2.6342253249822534e-06,0,0.0
learning_rate_high_spatial10_fold5.npz,7654,6.116057686966769e-07,6.116057686966769e-07,0,0.0
learning_rate_low_spatial10_fold1.npz,7655,5.612749298222752e-06,5.612749298222752e-06,0,0.0
learning_rate_low_spatial10_fold2.npz,7655,9.839214811790953e-06,9.839214811790953e-06,1,1.6788999776611545e-06
learning_rate_low_spatial10_fold3.npz,7654,5.5595865475766004e-06,5.5595865475766004e-06,0,0.0
learning_rate_low_spatial10_fold4.npz,7655,6.080117884721403e-06,6.080117884721403e-06,0,0.0
learning_rate_low_spatial10_fold5.npz,7654,3.8069357870540443e-06,3.8069357870540443e-06,0,0.0
leaves_high_spatial10_fold1.npz,7655,6.365437172917154e-06,6.365437172917154e-06,0,0.0
leaves_high_spatial10_fold2.npz,7655,7.595783415581536e-06,7.595783415581536e-06,0,0.0
leaves_high_spatial10_fold3.npz,7654,9.041115681895917e-06,9.041115681895917e-06,8,4.069676452597866e-06
leaves_high_spatial10_fold4.npz,7655,9.961216733245237e-06,9.961216733245237e-06,136,2.1435111341279282e-05
leaves_high_spatial10_fold5.npz,7654,6.7280081950116255e-06,6.7280081950116255e-06,0,0.0
leaves_low_spatial10_fold1.npz,7655,2.303669504044592e-07,2.303669504044592e-07,0,0.0
leaves_low_spatial10_fold2.npz,7655,1.3282648296808475e-06,1.3282648296808475e-06,0,0.0
leaves_low_spatial10_fold3.npz,7654,1.8149819425161695e-07,1.8149819425161695e-07,0,0.0
leaves_low_spatial10_fold4.npz,7655,2.2370113583747298e-07,2.2370113583747298e-07,0,0.0
leaves_low_spatial10_fold5.npz,7654,7.751768116293078e-08,7.751768116293078e-08,0,0.0
lightgbm_spatial10_fold1.npz,7655,8.631984016460592e-15,2.2417587682010964e-09,0,0.0
lightgbm_spatial10_fold2.npz,7655,8.694434061595757e-15,1.1915783290628035e-09,0,0.0
lightgbm_spatial10_fold3.npz,7654,1.049160758270773e-14,1.6184466093693839e-09,0,0.0
lightgbm_spatial10_fold4.npz,7655,4.350686477749832e-15,1.2897656059482343e-09,0,0.0
lightgbm_spatial10_fold5.npz,7654,5.7592819402429996e-15,1.651264049107315e-09,0,0.0
