configuration,feature,mean_abs_shap,rank,abbreviation,family
baseline,forest_frac_slope_2000_2025,0.003371061757206917,1,FORs,Land cover
baseline,mndwi_mean_2000_2025,0.001292732427828014,2,MNDWIm,Hydrology
baseline,mndwi_slope_2000_2025,0.001236409181728959,3,MNDWIs,Hydrology
baseline,built_frac_slope_2000_2025,0.0011685771169140935,4,BLTs,Land cover
baseline,forest_frac_mean_2000_2025,0.0010747277410700917,5,FORm,Land cover
baseline,cropland_frac_slope_2000_2025,0.0008265399956144392,6,CRPs,Land cover
baseline,cropland_frac_mean_2000_2025,0.0007156183128245175,7,CRPm,Land cover
baseline,slope_mean,0.0006957712466828525,8,SLOPE,Terrain
baseline,terrain_northness_mean,0.0006185703095979989,9,NORTH,Terrain
baseline,ssrd_wm2_slope_2000_2025,0.0004926206893287599,10,SRADs,Climate
baseline,grass_frac_slope_2000_2025,0.0004468417610041797,11,GRSs,Land cover
baseline,pdsi_slope_2000_2025,0.0004385021165944636,12,PDSIs,Hydrology
baseline,elevation_mean,0.0003659737412817776,13,ELEV,Terrain
baseline,terrain_tpi_5km,0.0003246336127631366,14,TPI5,Terrain
baseline,hydro_hand_m,0.0003132506099063903,15,HAND,Hydrology
baseline,pop_log_density_2000,0.00026482323301024735,16,POP,Human activity
baseline,soil_water_top_slope_2000_2025,0.0002583498426247388,17,SWTs,Hydrology
baseline,ntl_viirs_slope_2014_2025,0.0002564628957770765,18,NTLs,Human activity
baseline,mkde3k,0.00024927090271376073,19,MKDE3,Human activity
baseline,prcp_mm_slope_2000_2025,0.00023987800523173064,20,PRCPs,Climate
baseline,soil_water_rootzone_slope_2000_2025,0.0002394175244262442,21,SWRs,Hydrology
baseline,road_dist_km,0.0002321007486898452,22,RDIST,Human activity
baseline,built_frac_mean_2000_2025,0.00022927722602616996,23,BLTm,Land cover
baseline,terrain_eastness_mean,0.0002272758138133213,24,EAST,Terrain
baseline,ntl_viirs_mean_2014_2025,0.00022236636141315103,25,NTLm,Human activity
baseline,prcp_mm_mean_2000_2025,0.00020682056492660195,26,PRCPm,Climate
baseline,pdsi_mean_2000_2025,0.00019963330123573542,27,PDSIm,Hydrology
baseline,aet_mm_slope_2000_2025,0.00018958743021357805,28,AETs,Climate
baseline,hydro_twi_proxy,0.00018607958918437362,29,TWI,Hydrology
baseline,hydro_log_upstream_area,0.00018484033353161067,30,UPA,Hydrology
baseline,mdist_km,0.00017928140005096793,31,MDIST,Human activity
baseline,terrain_tpi_1km,0.00016034318832680583,32,TPI1,Terrain
baseline,def_mm_slope_2000_2025,0.00015700356743764132,33,CWDs,Climate
baseline,vpd_kpa_slope_2000_2025,0.00015472709492314607,34,VPDs,Climate
baseline,aet_mm_mean_2000_2025,0.00015257889754138887,35,AETm,Climate
baseline,ssrd_wm2_mean_2000_2025,0.00013806254719384015,36,SRADm,Climate
baseline,runoff_mm_mean_2000_2025,0.00012859160779044032,37,RUNm,Hydrology
baseline,runoff_mm_slope_2000_2025,0.00012550943938549608,38,RUNs,Hydrology
baseline,soil_water_rootzone_mean_2000_2025,0.00011900593381142244,39,SWRm,Hydrology
baseline,pet_mm_mean_2000_2025,0.00011887215077877045,40,PETm,Climate
baseline,vpd_kpa_mean_2000_2025,0.00011450587771832943,41,VPDm,Climate
baseline,tmean_c_mean_2000_2025,0.00011408955469960347,42,TEMPm,Climate
baseline,pet_mm_slope_2000_2025,0.00011336812167428434,43,PETs,Climate
baseline,def_mm_mean_2000_2025,0.00011303505016257986,44,CWDm,Climate
baseline,soil_water_top_mean_2000_2025,0.00011074146459577605,45,SWTm,Hydrology
baseline,tmean_c_slope_2000_2025,0.00010884621588047594,46,TEMPs,Climate
baseline,pop_log_change_2000_2020_per_year,8.980980783235282e-05,47,POPs,Human activity
