replicate,ok,n,unique_blocks,iterations
0,True,37344,159,41
1,True,37599,157,38
2,True,38649,152,45
3,True,42364,156,37
4,True,39244,145,35
5,True,39177,154,41
6,True,39943,143,74
7,True,38063,143,37
8,True,37605,155,37
9,True,39768,156,41
10,True,39582,150,40
11,True,33591,148,37
12,True,37737,145,38
13,True,39696,154,43
14,True,37461,142,36
15,True,35975,151,46
16,True,38846,150,41
17,True,37864,155,40
18,True,33961,143,34
19,True,40917,152,45
20,True,36789,154,36
21,True,39169,149,41
22,True,36000,151,45
23,True,40416,154,39
24,True,36953,147,35
25,True,38052,152,39
26,True,39694,151,36
27,True,38105,153,34
28,True,39950,153,38
29,True,40963,147,41
30,True,37514,143,38
31,True,35508,151,38
32,True,35038,154,40
33,True,40696,149,35
34,True,36926,152,43
35,True,41101,152,36
36,True,39275,155,46
37,True,35452,148,41
38,True,36424,147,43
39,True,37683,152,41
40,True,37636,157,42
41,True,38283,148,36
42,True,39357,147,38
43,True,38187,145,38
44,True,36862,152,42
45,True,39701,150,38
46,True,37609,157,33
47,True,41958,152,38
48,True,36715,146,36
49,True,37626,149,39
50,True,35385,156,37
51,True,41180,152,39
52,True,39554,147,38
53,True,37698,150,43
54,True,38991,159,39
55,True,40673,153,32
56,True,38925,157,45
57,True,39282,157,40
58,True,39089,151,42
59,True,37597,144,47
60,True,40007,153,35
61,True,39531,155,36
62,True,40597,148,46
63,True,39510,154,43
64,True,42871,149,40
65,True,38532,148,47
66,True,38923,160,33
67,True,37424,154,41
68,True,36109,146,40
69,True,41309,148,41
70,True,38875,149,40
71,True,37766,138,41
72,True,37285,154,42
73,True,39341,152,42
74,True,39379,141,40
75,True,38815,154,36
76,True,37905,150,39
77,True,37084,150,36
78,True,37570,157,40
79,True,42294,147,44
80,True,38293,150,45
81,True,35115,152,37
82,True,37411,136,34
83,True,38720,149,39
84,True,39076,145,44
85,True,36991,151,43
86,True,41000,149,40
87,True,38578,146,39
88,True,35918,151,43
89,True,39773,149,42
90,True,40299,147,38
91,True,39052,149,48
92,True,41397,150,40
93,True,34639,149,34
94,True,35778,144,35
95,True,40161,146,34
96,True,38415,148,38
97,True,38502,148,40
98,True,40114,155,43
99,True,36379,153,38
100,True,35615,146,36
101,True,40873,150,42
102,True,38763,150,37
103,True,37994,147,35
104,True,40053,158,41
105,True,38567,147,44
106,True,37656,146,38
107,True,41375,144,41
108,True,37444,159,40
109,True,39593,155,38
110,True,38217,146,40
111,True,39896,146,37
112,True,36953,141,40
113,True,39488,150,40
114,True,36358,148,41
115,True,38573,148,39
116,True,39662,152,44
117,True,36882,148,35
118,True,39413,158,43
119,True,41401,147,40
120,True,38707,148,37
121,True,42076,151,39
122,True,38250,155,38
123,True,38479,145,36
124,True,34564,143,41
125,True,39914,148,39
126,True,35618,143,40
127,True,38215,160,48
128,True,40034,148,36
129,True,36664,150,34
130,True,37568,146,46
131,True,38259,156,36
132,True,37671,155,36
133,True,39524,142,36
134,True,39598,154,42
135,True,36733,149,35
136,True,38042,145,41
137,True,38772,147,35
138,True,35081,157,45
139,True,39799,135,46
140,True,37819,153,39
141,True,37784,157,33
142,True,36385,155,39
143,True,40735,155,33
144,True,36463,154,43
145,True,37480,148,38
146,True,38222,147,36
147,True,38299,153,36
148,True,40523,146,37
149,True,39823,153,48
150,True,37874,141,43
151,True,37798,149,35
152,True,37287,154,39
153,True,39438,146,50
154,True,40383,146,44
155,True,37946,152,40
156,True,39836,151,41
157,True,39735,144,40
158,True,37624,151,40
159,True,37404,146,45
160,True,36645,145,44
161,True,39884,145,41
162,True,37869,149,35
163,True,37606,148,43
164,True,36767,158,40
165,True,36605,146,44
166,True,38310,149,39
167,True,38108,152,42
168,True,36912,138,37
169,True,38638,145,43
170,True,39402,143,35
171,True,37373,153,40
172,True,38449,148,42
173,True,36256,146,33
174,True,35655,147,45
175,True,38703,156,37
176,True,37827,150,40
177,True,41576,151,32
178,True,36959,145,41
179,True,35485,154,36
180,True,39126,148,40
181,True,41148,156,33
182,True,40640,146,41
183,True,38082,144,46
184,True,39788,152,39
185,True,39972,145,40
186,True,38532,144,39
187,True,38595,148,38
188,True,36264,150,34
189,True,41343,146,37
190,True,36944,144,44
191,True,37098,149,36
192,True,39047,151,43
193,True,35502,148,43
194,True,38225,150,35
195,True,38057,149,40
196,True,38540,149,33
197,True,36800,149,35
198,True,37845,148,40
199,True,38722,148,41
200,True,38981,147,38
201,True,40702,147,39
202,True,39867,151,43
203,True,38466,150,38
204,True,37985,154,40
205,True,39368,152,41
206,True,37246,150,43
207,True,37907,150,37
208,True,37122,153,41
209,True,37198,146,37
210,True,34964,149,38
211,True,37721,142,36
212,True,38605,149,40
213,True,38877,148,36
214,True,35513,156,40
215,True,38169,147,40
216,True,41126,148,41
217,True,40487,155,42
218,True,39074,155,39
219,True,36043,146,39
220,True,38221,152,42
221,True,37471,146,39
222,True,40731,151,38
223,True,36697,155,45
224,True,37881,150,36
225,True,36186,146,44
226,True,39785,155,40
227,True,38811,151,45
228,True,37675,154,37
229,True,37587,142,38
230,True,32658,150,37
231,True,37534,146,37
232,True,37112,152,40
233,True,37206,149,42
234,True,37355,150,49
235,True,37673,146,42
236,True,35532,143,54
237,True,41556,150,36
238,True,40741,146,39
239,True,36781,146,39
240,True,40623,153,42
241,True,35175,153,44
242,True,40617,149,42
243,True,38962,154,42
244,True,41273,147,40
245,True,39311,156,44
246,True,39701,148,37
247,True,38870,158,35
248,True,41343,148,43
249,True,37912,153,38
250,True,38441,143,41
251,True,39618,153,44
252,True,40339,154,40
253,True,38955,148,41
254,True,37293,150,35
255,True,40937,152,40
256,True,39810,154,42
257,True,38623,152,37
258,True,39367,148,36
259,True,39790,150,44
260,True,38262,148,40
261,True,37934,145,38
262,True,36941,146,39
263,True,37981,148,40
264,True,38177,144,42
265,True,37583,154,41
266,True,38560,152,35
267,True,36984,146,35
268,True,39419,154,38
269,True,37226,153,44
270,True,37949,150,39
271,True,40079,145,34
272,True,41407,156,41
273,True,37527,145,41
274,True,36685,158,33
275,True,39747,153,50
276,True,34738,160,37
277,True,37905,153,36
278,True,39795,151,40
279,True,38311,146,35
280,True,38199,151,39
281,True,39007,155,41
282,True,37009,154,39
283,True,38159,157,38
284,True,40402,142,39
285,True,37394,147,38
286,True,35792,154,35
287,True,34947,153,37
288,True,39457,153,38
289,True,39532,159,37
290,True,39570,145,48
291,True,40352,145,38
292,True,39160,153,35
293,True,39859,148,41
294,True,36944,156,39
295,True,37525,155,37
296,True,39320,152,43
297,True,38452,149,51
298,True,39154,149,42
299,True,39845,163,37
300,True,41520,149,38
301,True,37868,148,40
302,True,35595,157,39
303,True,37248,147,51
304,True,36278,138,41
305,True,39346,149,39
306,True,37191,155,44
307,True,37074,153,38
308,True,40245,146,35
309,True,38628,153,42
310,True,38762,152,38
311,True,35579,149,36
312,True,38104,152,39
313,True,37692,148,41
314,True,37414,150,37
315,True,38656,144,42
316,True,40964,148,37
317,True,39644,153,43
318,True,39348,156,37
319,True,41072,146,42
320,True,36179,151,35
321,True,39235,143,41
322,True,40486,153,35
323,True,40270,149,42
324,True,36624,147,39
325,True,36255,152,34
326,True,35683,157,39
327,True,38526,147,41
328,True,39598,155,37
329,True,36407,149,38
330,True,33743,148,37
331,True,36720,145,44
332,True,34268,151,40
333,True,40234,149,41
334,True,40260,159,35
335,True,36340,151,38
336,True,35934,150,43
337,True,36102,151,39
338,True,36365,149,38
339,True,38796,149,41
340,True,35023,150,37
341,True,38547,147,36
342,True,35925,157,38
343,True,38862,152,45
344,True,40083,143,44
345,True,40911,149,40
346,True,41042,150,38
347,True,37746,156,39
348,True,34621,154,36
349,True,39415,147,38
350,True,36595,148,35
351,True,35673,150,37
352,True,35183,145,36
353,True,38400,137,38
354,True,37578,144,33
355,True,38979,144,38
356,True,34785,148,41
357,True,38711,155,34
358,True,39023,137,41
359,True,35992,148,39
360,True,38132,151,38
361,True,36297,153,35
362,True,40487,145,36
363,True,38666,156,38
364,True,35912,152,33
365,True,38647,147,38
366,True,42391,157,38
367,True,38764,147,37
368,True,37904,150,42
369,True,37313,148,37
370,True,39991,156,33
371,True,39967,147,42
372,True,39627,149,42
373,True,38097,155,39
374,True,37132,153,36
375,True,39459,147,42
376,True,37529,157,40
377,True,37654,154,34
378,True,40229,145,43
379,True,37146,145,40
380,True,39687,155,41
381,True,35491,150,36
382,True,38842,154,39
383,True,37733,142,42
384,True,40798,162,40
385,True,37151,142,37
386,True,38780,149,52
387,True,38675,147,36
388,True,39990,149,36
389,True,37887,148,36
390,True,39606,152,43
391,True,37763,144,39
392,True,37844,152,42
393,True,40520,148,38
394,True,39108,150,42
395,True,35063,146,39
396,True,42294,140,37
397,True,40836,147,39
398,True,39247,149,37
399,True,37915,157,40
400,True,38075,155,34
401,True,38778,152,43
402,True,40596,155,41
403,True,39330,142,43
404,True,39406,155,38
405,True,38192,152,41
406,True,37754,155,38
407,True,40006,141,36
408,True,38871,146,49
409,True,37739,149,44
410,True,36436,156,38
411,True,37762,149,43
412,True,40995,149,39
413,True,40362,145,35
414,True,38651,152,39
415,True,37076,164,38
416,True,36951,152,40
417,True,36097,156,38
418,True,35346,149,42
419,True,38510,156,41
420,True,38334,160,35
421,True,37295,144,32
422,True,38916,151,35
423,True,37671,147,35
424,True,37054,154,43
425,True,34360,151,40
426,True,39968,152,36
427,True,37751,146,39
428,True,35426,141,38
429,True,40691,144,39
430,True,39097,144,44
431,True,36324,150,40
432,True,40402,152,37
433,True,36234,150,43
434,True,36895,145,42
435,True,42166,147,41
436,True,39776,142,44
437,True,33809,142,37
438,True,37763,155,40
439,True,36161,151,39
440,True,35498,148,46
441,True,38433,149,38
442,True,36304,157,33
443,True,37613,160,43
444,True,35828,153,37
445,True,39539,158,38
446,True,41001,148,36
447,True,41671,146,51
448,True,39136,144,34
449,True,37377,152,43
450,True,37437,152,40
451,True,42677,155,42
452,True,37292,141,44
453,True,37948,143,41
454,True,36611,148,41
455,True,37539,148,42
456,True,41648,153,36
457,True,38414,150,36
458,True,38196,153,37
459,True,37610,151,36
460,True,36730,147,31
461,True,39799,149,44
462,True,39666,150,41
463,True,38895,149,44
464,True,39916,143,45
465,True,37827,150,39
466,True,37330,147,40
467,True,39873,141,43
468,True,37711,158,35
469,True,37888,148,37
470,True,38852,142,39
471,True,39174,149,44
472,True,40026,149,43
473,True,37504,150,38
474,True,42944,143,41
475,True,36656,141,41
476,True,38287,158,44
477,True,38858,158,39
478,True,38901,147,39
479,True,37968,147,38
480,True,40447,151,39
481,True,37886,151,36
482,True,39498,152,39
483,True,41639,151,38
484,True,37480,158,39
485,True,38424,158,42
486,True,37421,154,41
487,True,35068,142,35
488,True,39058,157,36
489,True,40063,150,39
490,True,39776,150,43
491,True,33985,143,38
492,True,37751,151,35
493,True,34096,151,36
494,True,40906,149,43
495,True,38064,154,39
496,True,37438,154,33
497,True,40735,147,41
498,True,40261,153,36
499,True,35909,152,38
500,True,38014,154,41
501,True,38824,156,44
502,True,41276,145,49
503,True,36212,150,35
504,True,39915,154,43
505,True,36954,144,38
506,True,39885,155,42
507,True,36671,149,41
508,True,41126,153,48
509,True,39685,152,41
510,True,38337,154,39
511,True,39407,153,34
512,True,38251,145,39
513,True,40156,147,36
514,True,40025,146,37
515,True,38181,145,35
516,True,36915,152,42
517,True,41541,151,43
518,True,35396,150,37
519,True,35334,150,40
520,True,37963,157,39
521,True,41217,143,31
522,True,39044,153,36
523,True,35044,151,41
524,True,37573,153,45
525,True,40667,141,37
526,True,38569,148,35
527,True,38759,146,33
528,True,41231,157,44
529,True,37791,148,43
530,True,41247,139,39
531,True,37627,144,38
532,True,35542,147,38
533,True,38857,150,41
534,True,42379,144,35
535,True,41286,143,38
536,True,40804,141,37
537,True,35982,154,41
538,True,37487,148,37
539,True,38578,145,37
540,True,39592,149,43
541,True,39789,156,40
542,True,36521,148,38
543,True,36251,159,36
544,True,37740,153,43
545,True,39113,150,40
546,True,34830,143,35
547,True,43477,151,42
548,True,39430,153,43
549,True,37518,163,36
550,True,37786,149,37
551,True,37527,151,39
552,True,37735,149,37
553,True,41060,146,35
554,True,39521,146,41
555,True,40516,149,41
556,True,41178,151,35
557,True,39605,151,38
558,True,37188,153,45
559,True,36902,143,42
560,True,35165,142,41
561,True,35361,148,36
562,True,38089,144,43
563,True,36910,145,38
564,True,37102,151,44
565,True,38789,145,39
566,True,37840,155,36
567,True,37300,162,39
568,True,39916,148,33
569,True,37753,156,37
570,True,38744,153,43
571,True,37185,154,47
572,True,38463,145,42
573,True,36233,161,40
574,True,38210,149,41
575,True,36230,153,39
576,True,41866,143,41
577,True,39779,144,47
578,True,38091,150,43
579,True,35368,146,39
580,True,37597,146,37
581,True,37275,148,40
582,True,41058,153,37
583,True,37198,154,35
584,True,39001,146,40
585,True,35052,149,35
586,True,34507,153,38
587,True,37762,145,42
588,True,39578,150,32
589,True,39846,152,41
590,True,35089,148,36
591,True,40842,148,40
592,True,39375,145,40
593,True,38265,152,38
594,True,40815,147,40
595,True,39163,148,34
596,True,43257,150,37
597,True,36984,146,39
598,True,38701,149,35
599,True,41041,151,36
600,True,36348,148,37
601,True,35290,157,36
602,True,39207,153,44
603,True,37136,144,39
604,True,39421,151,40
605,True,38638,153,36
606,True,37929,150,42
607,True,36809,162,35
608,True,38394,154,38
609,True,38893,142,37
610,True,41060,151,39
611,True,40910,153,37
612,True,35165,154,40
613,True,39744,150,33
614,True,37467,148,37
615,True,37627,156,41
616,True,43409,151,40
617,True,38366,148,40
618,True,36348,155,37
619,True,36327,150,41
620,True,35776,149,42
621,True,39563,155,41
622,True,38344,152,43
623,True,37391,147,40
624,True,38274,147,39
625,True,38589,157,36
626,True,38374,144,39
627,True,39695,152,35
628,True,35367,162,41
629,True,40420,151,36
630,True,35226,144,32
631,True,35896,136,39
632,True,38600,154,36
633,True,40080,151,44
634,True,36069,147,34
635,True,39549,156,40
636,True,36052,153,38
637,True,41219,145,41
638,True,38472,157,37
