construct,variable,retained,final_vif,selection_basis
Terrain,elevation_mean,True,2.1487873071508936,pre-specified process role; within-construct VIF
Terrain,slope_mean,True,1.6499038811160531,pre-specified process role; within-construct VIF
Terrain,terrain_northness_mean,True,1.0004541722999034,pre-specified process role; within-construct VIF
Terrain,terrain_tpi_5km,True,1.7143681376669697,pre-specified process role; within-construct VIF
Climate,prcp_mm_mean_2000_2025,True,1.6319918801839195,pre-specified process role; within-construct VIF
Climate,prcp_mm_slope_2000_2025,True,1.9582763321108914,pre-specified process role; within-construct VIF
Climate,tmean_c_mean_2000_2025,True,1.6771919993757087,pre-specified process role; within-construct VIF
Climate,vpd_kpa_slope_2000_2025,True,3.233455578288072,pre-specified process role; within-construct VIF
Climate,ssrd_wm2_slope_2000_2025,True,2.34020260497568,pre-specified process role; within-construct VIF
Hydrology,mndwi_mean_2000_2025,True,1.3036096277704547,pre-specified process role; within-construct VIF
Hydrology,mndwi_slope_2000_2025,True,1.1500043549147498,pre-specified process role; within-construct VIF
Hydrology,pdsi_slope_2000_2025,True,1.2094223211956039,pre-specified process role; within-construct VIF
Hydrology,soil_water_rootzone_mean_2000_2025,True,1.0746988083814228,pre-specified process role; within-construct VIF
Hydrology,soil_water_rootzone_slope_2000_2025,True,1.3269860725592473,pre-specified process role; within-construct VIF
Hydrology,hydro_hand_m,True,1.1389926555721717,pre-specified process role; within-construct VIF
LandCover,forest_frac_mean_2000_2025,False,,pre-specified process role; within-construct VIF
LandCover,forest_frac_slope_2000_2025,True,1.0192990581221224,pre-specified process role; within-construct VIF
LandCover,cropland_frac_mean_2000_2025,True,1.0604698845816287,pre-specified process role; within-construct VIF
LandCover,cropland_frac_slope_2000_2025,False,,pre-specified process role; within-construct VIF
LandCover,built_frac_slope_2000_2025,True,1.0786745876369794,pre-specified process role; within-construct VIF
LandCover,barren_frac_slope_2000_2025,True,1.0027182263670018,pre-specified process role; within-construct VIF
Human,pop_log_density_2000,True,1.0963073894161706,pre-specified process role; within-construct VIF
Human,pop_log_change_2000_2020_per_year,True,1.0346968148953095,pre-specified process role; within-construct VIF
Human,ntl_viirs_slope_2014_2025,True,1.1094482024671435,pre-specified process role; within-construct VIF
Human,road_dist_km,True,1.0571777661423543,pre-specified process role; within-construct VIF
Human,mkde3k,True,1.0962792131788077,pre-specified process role; within-construct VIF
Human,mining_disturbance_intensity_2000_2025,True,1.11694484316424,pre-specified process role; within-construct VIF
