,weight,loading,communality,redundancy,construct,orientation,standardized_weight
barren_frac_slope_2000_2025,-52613.76703215553,-0.07389711820130057,0.005460784078456988,0.0036940697725119666,LandCover,-1,-0.026393082892533337
built_frac_slope_2000_2025,-42257.435017458825,-0.6575393384367964,0.4323579815918998,0.29247824630235514,LandCover,-1,-0.44925619750347806
cropland_frac_mean_2000_2025,-1008.1672599609765,-0.8326078430130184,0.6932358202467911,0.4689549068418418,LandCover,-1,-0.7309882093307511
elevation_mean,-0.6390769849999344,0.8277749770768833,0.6852114126746347,0.0,Terrain,-1,0.2868972658106984
forest_frac_slope_2000_2025,17451.467046321075,0.33126421821093843,0.10973598226690423,0.07423336451779707,LandCover,-1,0.28382023451757643
hydro_hand_m,5.029823926919561,-0.9356668872403058,0.875472523877963,0.620187869507865,Hydrology,1,-0.8195543529455779
mining_disturbance_intensity_2000_2025,1054.5017027386675,0.2510502083644913,0.0630262071198545,0.0,Human,1,0.10939128880816977
mkde3k,-237.11133525610796,0.01567077579302161,0.0002455732139551521,0.0,Human,1,-0.04602904632868715
mndwi_mean_2000_2025,-1571.217073784443,0.6135791202138742,0.37647933676243184,0.26669930970097905,Hydrology,1,0.318490678147378
mndwi_slope_2000_2025,-26927.01999355205,0.18192997398960176,0.03309851543585717,0.023447106804803455,Hydrology,1,0.15048535837985755
ntl_viirs_slope_2014_2025,665.2983289845732,0.6457913875762072,0.41704651626760314,0.0,Human,1,0.40470308850391
pdsi_slope_2000_2025,-204.12430949745402,0.12940538329716728,0.01674575322628678,0.011862751523842169,Hydrology,1,0.007490903827564399
pop_log_change_2000_2020_per_year,2218.576042536728,0.3703680716508804,0.1371725084983917,0.0,Human,1,0.2599618091083158
pop_log_density_2000,96.9006047423699,0.8440164290994555,0.7123637325897962,0.0,Human,1,0.7047919555662032
prcp_mm_mean_2000_2025,0.7460851534474029,0.31758404444396926,0.10085962528538904,0.0,Climate,-1,-0.3649907267689564
prcp_mm_slope_2000_2025,-0.6817413921340203,0.06448181476148435,0.004157904434934381,0.0,Climate,-1,0.0040658787271146135
regain_sen_slope_2000_2025,-25451.378640354804,1.0,1.0,0.2887082222398023,REGAIN,-1,1.0
road_dist_km,-5.230115148090321,-0.2785003903653026,0.07756246743362594,0.0,Human,1,-0.07456827033707339
slope_mean,-39.23455133273408,0.9339329556557966,0.8722307656599722,0.0,Terrain,-1,0.6554464356589416
soil_water_rootzone_mean_2000_2025,352.8861067096974,-0.1349537610248348,0.018212517614748222,0.012901812666641336,Hydrology,1,-0.04052964179970242
soil_water_rootzone_slope_2000_2025,96817.34016090243,-0.07412047900919838,0.005493845408553018,0.003891859751627126,Hydrology,1,-0.053077252103591044
ssrd_wm2_slope_2000_2025,-2981.924477665488,-0.23110141938215567,0.053407866040447,0.0,Climate,-1,0.16244967325131396
terrain_northness_mean,4.506044506942008,0.009603067884088214,9.221891278640648e-05,0.0,Terrain,-1,-0.004844548764359436
terrain_tpi_5km,-0.9038156547699808,0.7071330632318699,0.5000371691156876,0.0,Terrain,-1,0.2127140220035867
tmean_c_mean_2000_2025,685.7787376697111,-0.8618595403704619,0.7428018673275838,0.0,Climate,-1,-1.0240613307875064
vpd_kpa_slope_2000_2025,261624.3723315304,-0.5061944186456618,0.2562327894680196,0.0,Climate,-1,-0.5345740059317896
