"","elevation_mean","slope_mean","terrain_northness_mean","terrain_tpi_5km","prcp_mm_mean_2000_2025","prcp_mm_slope_2000_2025","tmean_c_mean_2000_2025","vpd_kpa_slope_2000_2025","ssrd_wm2_slope_2000_2025","pop_log_density_2000","pop_log_change_2000_2020_per_year","ntl_viirs_slope_2014_2025","road_dist_km","mkde3k","mining_disturbance_intensity_2000_2025","mndwi_mean_2000_2025","mndwi_slope_2000_2025","pdsi_slope_2000_2025","soil_water_rootzone_mean_2000_2025","soil_water_rootzone_slope_2000_2025","hydro_hand_m","forest_frac_slope_2000_2025","cropland_frac_mean_2000_2025","built_frac_slope_2000_2025","barren_frac_slope_2000_2025","regain_sen_slope_2000_2025"
"elevation_mean",1,0.618456616545121,0.00338909603193056,0.637141565499162,0.336652019941748,-0.00101580916625639,-0.491616896216231,-0.334705733889543,-0.202287702118485,-0.416097648719021,-0.155402935140554,-0.181499433281333,0.197623405097625,0.0522395471431988,-0.0622583015064456,-0.552501102764119,0.0653764807780485,-0.346462012640713,0.109213814648315,0.0943182738182716,0.716071017092776,0.00652050734466797,-0.493775209649168,-0.168657799358863,-0.0103766103283262,0.0283766397851057
"slope_mean",0.618456616545121,1,0.0184904604971726,0.475486216998765,0.0788509467669844,0.0539575000129123,-0.219409175905028,-0.106081718130825,-0.00529832161578831,-0.597038296838831,-0.195157852849231,-0.241043777109082,0.178172918578224,-0.063918326968747,-0.118038810943996,-0.425091321280043,-0.104666250891252,-0.00525609628517806,0.0669872578724623,0.050667807315346,0.687028719613719,0.0174645256166994,-0.762222554648127,-0.247219274499303,-0.0200169938591752,0.12021690518176
"terrain_northness_mean",0.00338909603193056,0.0184904604971726,1,0.00637375864544482,-0.0189147758276933,0.029606833999216,0.0167638542966089,-0.00639853147797722,0.00732975964974134,-0.0115069384009002,-0.00794981635848264,0.00754636091000357,0.0107196690668609,0.0237089863929676,-0.00680835446052319,0.12980441515135,-0.145478009295644,-0.00521579070605904,0.00592634934770546,0.0307043377309586,0.0177076865817667,0.000233373700456513,-0.0374928029973336,-0.00376252939204278,-0.00173277510875622,-0.0631585678934026
"terrain_tpi_5km",0.637141565499162,0.475486216998765,0.00637375864544482,1,-0.0165183614615193,-0.0210187392431054,0.0181899774043961,0.0183453005993269,0.00711104995323414,-0.371236503064238,-0.112864134155206,-0.0525915754726164,0.0530747271622939,-0.0200203102909593,-0.0400114637410269,-0.263902706463741,-0.0198510674356268,-0.01373675522204,0.00681171197140399,-0.00454395223118718,0.751652970226714,0.0339083391350117,-0.381131090974754,-0.0581560080003187,-0.0107712513611377,-0.0184116090250364
"prcp_mm_mean_2000_2025",0.336652019941748,0.0788509467669844,-0.0189147758276933,-0.0165183614615193,1,-0.127070152916405,-0.594742607800732,-0.121323796482102,0.0565219279298383,-0.0235505031192474,-0.0109344465807998,-0.0429570344459786,-0.0564294936863905,0.0593543103603917,0.0207990203345461,-0.149088090420519,0.0309500332911873,-0.587159279551968,0.148039973947913,-0.314361299790298,0.111990165349986,-0.0777522607174843,-0.0132529189893264,-0.0413614750847366,0.0100046799986965,0.0383060229610002
"prcp_mm_slope_2000_2025",-0.00101580916625639,0.0539575000129123,0.029606833999216,-0.0210187392431054,-0.127070152916405,1,0.23514730045602,-0.475411588574383,0.00430341669678048,0.000476188572806463,0.00740848888579347,0.0643214025588064,-0.0209158188266262,-0.00346676791666893,0.0348031149567184,-0.062138203299643,0.179448446865891,0.205416641198629,0.137924879795885,0.599028009005214,0.00424836587250321,-0.0300959821861498,-0.0124229708387378,0.0416208323084074,0.0100559749128612,-0.126401496700876
"tmean_c_mean_2000_2025",-0.491616896216231,-0.219409175905028,0.0167638542966089,0.0181899774043961,-0.594742607800732,0.23514730045602,1,0.114373668914864,0.0326954410397678,0.104160541118235,0.0623341300580467,0.112005530530814,-0.288763598539652,-0.0524521480520141,0.0361970107117013,0.226885875211935,0.02559060984723,0.397245971459555,-0.287938323014374,0.152137567357944,-0.225354025524896,0.0430155266431812,0.154716293335128,0.0957931633612087,0.0137437896410453,-0.0350862791924366
"vpd_kpa_slope_2000_2025",-0.334705733889543,-0.106081718130825,-0.00639853147797722,0.0183453005993269,-0.121323796482102,-0.475411588574383,0.114373668914864,1,0.635003703176361,0.0913695098402186,0.0404286336019349,0.0327891181592256,0.104884865501722,-0.158158755115393,-0.0362094457542294,0.35721541792404,-0.324895845471696,0.273574194587375,0.0431858056643906,-0.681172836414822,-0.0614122402845369,0.063743707415774,0.113171647679769,0.0544895354660083,-0.011359299551822,0.0457426357975663
"ssrd_wm2_slope_2000_2025",-0.202287702118485,-0.00529832161578831,0.00732975964974134,0.00711104995323414,0.0565219279298383,0.00430341669678048,0.0326954410397678,0.635003703176361,1,0.0478136971592486,0.0420213953361322,0.0190461751658792,0.1921147941779,-0.126252875675795,-0.0312864025573029,0.233990428251953,-0.210873791543626,0.231486320173301,0.196786770153509,-0.349678830183065,-0.000318327741141128,-0.00898676318974617,0.0715959110968079,0.0330417846332528,-0.0147399171603468,-0.061910844616923
"pop_log_density_2000",-0.416097648719021,-0.597038296838831,-0.0115069384009002,-0.371236503064238,-0.0235505031192474,0.000476188572806463,0.104160541118235,0.0913695098402186,0.0478136971592486,1,0.0494512917112174,0.254509317404941,-0.171556808358283,0.00534825769325134,0.0989274404354883,0.285654474472118,0.121398674222608,0.0521295742053791,-0.0527882505962462,-0.0615314485272795,-0.426881412631358,-0.0454753616598113,0.702256352687402,0.303321817714573,0.0253149317291087,-0.182312826196823
"pop_log_change_2000_2020_per_year",-0.155402935140554,-0.195157852849231,-0.00794981635848264,-0.112864134155206,-0.0109344465807998,0.00740848888579347,0.0623341300580467,0.0404286336019349,0.0420213953361322,0.0494512917112174,1,0.146805704284477,-0.0790335361524212,0.0449979356311295,0.112609387152783,0.115603459031747,0.113594961556816,0.0303277135977029,-0.02080455436491,-0.0226845190446157,-0.140783694076734,-0.0988511649786307,0.235821536893763,0.211256818091175,0.0414472881780107,-0.118389151635084
"ntl_viirs_slope_2014_2025",-0.181499433281333,-0.241043777109082,0.00754636091000357,-0.0525915754726164,-0.0429570344459786,0.0643214025588064,0.112005530530814,0.0327891181592256,0.0190461751658792,0.254509317404941,0.146805704284477,1,-0.146185212461832,0.0189812687842078,0.123604123151359,0.249257281790959,0.263107188749284,0.0652276874809906,-0.173221342980284,0.0162621730006637,-0.13217527978506,-0.121843321845972,0.232448124083969,0.692699391780343,0.0193788272981215,-0.313978570376109
"road_dist_km",0.197623405097625,0.178172918578224,0.0107196690668609,0.0530747271622939,-0.0564294936863905,-0.0209158188266262,-0.288763598539652,0.104884865501722,0.1921147941779,-0.171556808358283,-0.0790335361524212,-0.146185212461832,1,-0.105197550108616,-0.0745497795650852,-0.0717686794146843,-0.1136456886738,-0.0699171381032637,0.211333553161888,-0.0706726041531946,0.146564057927333,0.0523306933007609,-0.186857016581072,-0.126003858755155,-0.0159629159119889,0.0678442161733964
"mkde3k",0.0522395471431988,-0.063918326968747,0.0237089863929676,-0.0200203102909593,0.0593543103603917,-0.00346676791666893,-0.0524521480520141,-0.158158755115393,-0.126252875675795,0.00534825769325134,0.0449979356311295,0.0189812687842078,-0.105197550108616,1,0.28070325570676,-0.0763212003488477,0.0737378805217383,-0.188756047689703,0.106469532982476,0.196966785354194,-0.0467913408983423,-0.00866191852375194,0.0187242909642652,-0.00194797968187816,0.0305757425730031,0.00701062507242949
