"","elevation_mean","slope_mean","terrain_northness_mean","terrain_tpi_5km","prcp_mm_mean_2000_2025","prcp_mm_slope_2000_2025","tmean_c_mean_2000_2025","vpd_kpa_slope_2000_2025","ssrd_wm2_slope_2000_2025","pop_log_density_2000","pop_log_change_2000_2020_per_year","ntl_viirs_slope_2014_2025","road_dist_km","mkde3k","mining_disturbance_intensity_2000_2025","mndwi_mean_2000_2025","mndwi_slope_2000_2025","pdsi_slope_2000_2025","soil_water_rootzone_mean_2000_2025","soil_water_rootzone_slope_2000_2025","hydro_hand_m","forest_frac_slope_2000_2025","cropland_frac_mean_2000_2025","built_frac_slope_2000_2025","barren_frac_slope_2000_2025","regain_sen_slope_2000_2025"
"elevation_mean",1,0.618456616545121,0.00338909603193056,0.637141565499162,0.0819507390041055,0.0166394040600876,-0.222398547064976,-0.130621011418772,-0.0596345397105801,-0.405126296553084,-0.17777586288468,-0.309978125982793,0.1336796006128,-0.00752198232652244,-0.120503528841196,-0.427026377734001,-0.12661589298776,-0.0900607079086934,0.0939223254981018,0.0515849611413131,0.651186834629571,0.173926934128927,-0.437153184598646,-0.345234389633498,-0.0387989486585651,0.0689755820753188
"slope_mean",0.618456616545121,1,0.0184904604971726,0.475486216998765,0.0924605477376232,0.0187733317858947,-0.250920147000127,-0.14737256074307,-0.0672823976052864,-0.4570818974596,-0.200574806970595,-0.3497314077133,0.150823400059724,-0.00848664227357541,-0.135957557141923,-0.481790564228114,-0.142853804129212,-0.10161058318777,0.105967435631188,0.0582004972756973,0.73469857796356,0.196232270645912,-0.493216087913645,-0.389509126473871,-0.0437747369725993,0.0778213860754308
"terrain_northness_mean",0.00338909603193056,0.0184904604971726,1,0.00637375864544482,0.000950721293563724,0.000193035913335004,-0.00258007477323315,-0.00151535152033755,-0.000691828132652711,-0.0046999234100419,-0.0020624011495206,-0.00359609697840622,0.0015508346155526,-8.72635055466264e-05,-0.0013979772752648,-0.00495398913004021,-0.00146888761504664,-0.00104480610867863,0.00108960524184651,0.000598443913754662,0.00755450405077711,0.0020177492211796,-0.0050714715473927,-0.00400510952657302,-0.000450111702540421,0.000800194792772677
"terrain_tpi_5km",0.637141565499162,0.475486216998765,0.00637375864544482,1,0.0700070616548177,0.0142143414457266,-0.189985703430199,-0.111584023657804,-0.050943273349446,-0.346082316833762,-0.151866425427631,-0.264801245736602,0.11419684746983,-0.00642571240843753,-0.102941084799566,-0.364790632977209,-0.108162619820059,-0.076935066210014,0.0802338833281305,0.0440668577119283,0.556281461701452,0.148578447845202,-0.37344153718082,-0.294919185527112,-0.0331443062489797,0.0589229320651016
"prcp_mm_mean_2000_2025",0.0819507390041055,0.0924605477376232,0.000950721293563724,0.0700070616548177,1,-0.127070152916405,-0.594742607800732,-0.121323796482102,0.0565219279298383,-0.0516600069341611,-0.0226692327491154,-0.0395271111106733,0.0170462622480203,-0.000959171652032885,-0.0153661048134687,-0.0582989670876999,-0.0172859948775137,-0.0122953674996031,0.0128225675239783,0.00704253907628864,0.0889020487246357,0.0191185726458839,-0.0480531952051389,-0.0379492043088204,-0.0042648973388034,-0.00415243900423534
"prcp_mm_slope_2000_2025",0.0166394040600876,0.0187733317858947,0.000193035913335004,0.0142143414457266,-0.127070152916405,1,0.23514730045602,-0.475411588574383,0.00430341669678048,-0.0104891272436405,-0.00460279587504154,-0.00802564541932347,0.00346109929826037,-0.000194751687112393,-0.00311995754923154,-0.0118371119217045,-0.00350977497998092,-0.00249647032326232,0.00260351382686791,0.00142992796310784,0.0180508086745222,0.0038818643879595,-0.00975679464411561,-0.00770526479598491,-0.000865951313649375,-0.000843117600475555
"tmean_c_mean_2000_2025",-0.222398547064976,-0.250920147000127,-0.00258007477323315,-0.189985703430199,-0.594742607800732,0.23514730045602,1,0.114373668914864,0.0326954410397678,0.140195324937197,0.0615199385356179,0.107268978748919,-0.0462602778561685,0.00260300742116968,0.0417006536621026,0.1582121861652,0.0469108661135939,0.0333672630750122,-0.0347979825640431,-0.0191120968187541,-0.241263064955011,-0.0518841297842079,0.130407131470982,0.102986843109868,0.0115741112655938,0.0112689209705798
"vpd_kpa_slope_2000_2025",-0.130621011418772,-0.14737256074307,-0.00151535152033755,-0.111584023657804,-0.121323796482102,-0.475411588574383,0.114373668914864,1,0.635003703176361,0.0823407139172087,0.0361324149819889,0.0630021314570411,-0.0271699809276216,0.00152882051870787,0.0244919835585813,0.0929225305129165,0.027552089971604,0.0195975455265046,-0.02043784789889,-0.0112250797037347,-0.14170068095458,-0.0304730296057917,0.0765918286506785,0.0604871110327316,0.00679780573990699,0.00661855877298197
"ssrd_wm2_slope_2000_2025",-0.0596345397105801,-0.0672823976052864,-0.000691828132652711,-0.050943273349446,0.0565219279298383,0.00430341669678048,0.0326954410397678,0.635003703176361,1,0.0375923484327547,0.0164961204378862,0.0287633901270356,-0.0124043543145548,0.000697977354048659,0.011181724519285,0.0424234376666581,0.0125788047854984,0.00894718693597778,-0.00933082387654819,-0.00512476862700661,-0.0646929218631648,-0.0139123489734907,0.0349677161244092,0.0276151668531738,0.00310351307142791,0.00302167853155575
"pop_log_density_2000",-0.405126296553084,-0.4570818974596,-0.0046999234100419,-0.346082316833762,-0.0516600069341611,-0.0104891272436405,0.140195324937197,0.0823407139172087,0.0375923484327547,1,0.0494512917112174,0.254509317404941,-0.171556808358283,0.00534825769325134,0.0989274404354883,0.253379305942066,0.0751284903211713,0.0534381969180612,-0.0557295166950972,-0.0306083238239118,-0.386386595302622,-0.221204880091409,0.555982995187162,0.439078237909373,0.0493455302289677,-0.254571448861417
