"source","target","path","coefficient","cSEM_coefficient","difference"
"Terrain","Hydrology","Terrain -> Hydrology",-0.826868085833087,-0.826869899449398,-1.81361631113042e-06
"Terrain","LandCover","Terrain -> LandCover",0.362863016352802,0.362980850278876,0.000117833926074229
"Terrain","REGAIN","Terrain -> REGAIN",-0.434747176186792,-0.434810573120249,-6.33969334568052e-05
"Climate","Hydrology","Climate -> Hydrology",-0.0410542450171937,-0.0410987046350412,-4.44596178475129e-05
"Climate","LandCover","Climate -> LandCover",-0.0216824528352606,-0.0216120875335301,7.03653017304906e-05
"Climate","REGAIN","Climate -> REGAIN",-0.033977846579295,-0.0340920233922005,-0.000114176812905507
"Human","Hydrology","Human -> Hydrology",0.0018868361771773,0.00184594655058512,-4.08896265921797e-05
"Human","LandCover","Human -> LandCover",-0.638522828163757,-0.638446816892092,7.60112716652328e-05
"Human","REGAIN","Human -> REGAIN",0.0969695051687424,0.0969397584828084,-2.97466859339596e-05
"Hydrology","LandCover","Hydrology -> LandCover",0.10952222898295,0.109569121729751,4.68927468011138e-05
"Hydrology","REGAIN","Hydrology -> REGAIN",-0.129301946814021,-0.129309718263282,-7.77144926106255e-06
"LandCover","REGAIN","LandCover -> REGAIN",0.75074690347472,0.750768108794199,2.12053194783568e-05
