year,n_roi5,n_L7,mixed_median_all,L7_median,mixed_median_common_cells,median_paired_L7_minus_mixed
2000,38281,38281,0.5599082679187032,0.5377433000480988,0.5599082679187032,-0.015650723302641972
2001,38281,38281,0.5733227785780841,0.5649126392138818,0.5733227785780841,-0.004170182690482083
2002,38281,38278,0.5246421037571274,0.5457632266340066,0.5246189254424636,0.024347215874397032
2003,38281,38281,0.506342587224281,0.493401271091948,0.506342587224281,-0.006948345282978274
2004,38281,38281,0.46905306991611867,0.49441799715846885,0.46905306991611867,0.017616626675289127
2005,38281,38281,0.5481976888904805,0.5430566203845416,0.5481976888904805,-0.00410506772136443
2006,38281,38281,0.5986555143265997,0.5992225253720462,0.5986555143265997,0.0032537076426664147
2007,38281,38281,0.5634103863487014,0.5399084854427899,0.5634103863487014,-0.018770346902345025
2008,38281,38281,0.5422153944097962,0.5249043033234286,0.5422153944097962,-0.027598661525793156
2009,38281,38281,0.49623169744695217,0.4943114676608901,0.49623169744695217,-0.0027824131458542567
2010,38281,38281,0.5480167277891335,0.5581558608865167,0.5480167277891335,0.012158844609407415
2011,38281,38281,0.5419829898900819,0.5458934866152275,0.5419829898900819,0.010134214320751345
2012,38281,38281,0.6696779411691028,0.6696779411691028,0.6696779411691028,0.0
2013,38281,38281,0.6859760370093492,0.6441504522145148,0.6859760370093492,-0.03209827219834627
2014,38281,38281,0.6713412829022235,0.5918402296386428,0.6713412829022235,-0.06921474315289111
2015,38281,38281,0.6780203361772354,0.6653673876559758,0.6780203361772354,-0.006848752126183022
2016,38281,38281,0.6439399404945771,0.6124428219561018,0.6439399404945771,-0.028333506784934515
2017,38281,38281,0.7144004111152067,0.6861851483763666,0.7144004111152067,-0.023727912369653326
2018,38281,38281,0.686273840242263,0.6811792089602191,0.686273840242263,-0.008880832931063787
2019,38281,38281,0.7217431763255917,0.6960378857924421,0.7217431763255917,-0.025761479988303804
2020,38281,38281,0.6755095468487785,0.6776150844073556,0.6755095468487785,0.0020470967981867094
2021,38281,38281,0.6793706808391117,0.6806991280741217,0.6793706808391117,-0.0008509804426564127
2022,38281,38281,0.7614135694400872,0.8240761616213614,0.7614135694400872,0.05415193353079492
2023,38281,38281,0.6897504510026522,0.694935538447147,0.6897504510026522,0.010268367655710708
2024,38281,0,0.7636665443757433,,,
2025,38281,0,0.7155577937399502,,,
