scene_count,sensor,year
118,L5,2000
108,L7,2000
0,L8,2000
0,L9,2000
107,L5,2001
129,L7,2001
0,L8,2001
0,L9,2001
100,L5,2002
115,L7,2002
0,L8,2002
0,L9,2002
118,L5,2003
105,L7,2003
0,L8,2003
0,L9,2003
152,L5,2004
137,L7,2004
0,L8,2004
0,L9,2004
111,L5,2005
110,L7,2005
0,L8,2005
0,L9,2005
118,L5,2006
101,L7,2006
0,L8,2006
0,L9,2006
101,L5,2007
111,L7,2007
0,L8,2007
0,L9,2007
110,L5,2008
119,L7,2008
0,L8,2008
0,L9,2008
132,L5,2009
116,L7,2009
0,L8,2009
0,L9,2009
94,L5,2010
90,L7,2010
0,L8,2010
0,L9,2010
95,L5,2011
127,L7,2011
0,L8,2011
0,L9,2011
0,L5,2012
104,L7,2012
0,L8,2012
0,L9,2012
0,L5,2013
132,L7,2013
112,L8,2013
0,L9,2013
0,L5,2014
132,L7,2014
136,L8,2014
0,L9,2014
0,L5,2015
119,L7,2015
128,L8,2015
0,L9,2015
0,L5,2016
119,L7,2016
133,L8,2016
0,L9,2016
0,L5,2017
137,L7,2017
146,L8,2017
0,L9,2017
0,L5,2018
128,L7,2018
137,L8,2018
0,L9,2018
0,L5,2019
128,L7,2019
132,L8,2019
0,L9,2019
0,L5,2020
124,L7,2020
132,L8,2020
0,L9,2020
0,L5,2021
145,L7,2021
148,L8,2021
20,L9,2021
0,L5,2022
104,L7,2022
130,L8,2022
120,L9,2022
0,L5,2023
97,L7,2023
142,L8,2023
136,L9,2023
0,L5,2024
0,L7,2024
122,L8,2024
138,L9,2024
0,L5,2025
0,L7,2025
155,L8,2025
146,L9,2025
