start,end,sensor,n_common,start_median,end_median,difference_of_medians,median_paired_change,fraction_positive
2003,2004,mixed,38281,0.506342587224281,0.46905306991611867,-0.03728951730816238,-0.009927232726079094,0.40184425694208614
2003,2004,L7,38281,0.493401271091948,0.49441799715846885,0.0010167260665208677,0.017121402596658234,0.6167811708158094
2004,2005,mixed,38281,0.46905306991611867,0.5481976888904805,0.07914461897436181,0.0838040540045531,0.8104020271152791
2004,2005,L7,38281,0.49441799715846885,0.5430566203845416,0.048638623226072764,0.0511698383456681,0.7369452208667485
2011,2012,mixed,38281,0.5419829898900819,0.6696779411691028,0.12769495127902097,0.10191517906676709,0.8345393276037721
2011,2012,L7,38281,0.5458934866152275,0.6696779411691028,0.12378445455387532,0.09973885340498989,0.8058566913090045
2012,2013,mixed,38281,0.6696779411691028,0.6859760370093492,0.01629809584024633,0.014040022027781873,0.5716151615684021
2012,2013,L7,38281,0.6696779411691028,0.6441504522145148,-0.025527488954588007,-0.022576649281304095,0.40335936887751106
2010,2011,mixed,38281,0.5480167277891335,0.5419829898900819,-0.006033737899051594,0.01918353094978048,0.5941851048823176
2010,2011,L7,38281,0.5581558608865167,0.5458934866152275,-0.012262374271289178,0.010330396526135321,0.5474778610799091
