k,cluster,year,median_smoothed_regain,n
3,0,2000,0.29723117946501165,23507
3,0,2001,0.27199583967580804,23507
3,0,2002,0.22205353433793482,23507
3,0,2003,0.14212631746809812,23507
3,0,2004,0.1793540081567864,23507
3,0,2005,0.27451467496862075,23507
3,0,2006,0.35214253249519456,23507
3,0,2007,0.3736713243396039,23507
3,0,2008,0.308769230344643,23507
3,0,2009,0.319076908744007,23507
3,0,2010,0.3294064523907732,23507
3,0,2011,0.4799913966945381,23507
3,0,2012,0.6007885828321956,23507
3,0,2013,0.6957227337408458,23507
3,0,2014,0.7108313270842691,23507
3,0,2015,0.6786993419529003,23507
3,0,2016,0.7130390089594619,23507
3,0,2017,0.7168903417577431,23507
3,0,2018,0.7761953385809033,23507
3,0,2019,0.7435486944712539,23507
3,0,2020,0.7212693938414042,23507
3,0,2021,0.7600093459637945,23507
3,0,2022,0.7657979557775625,23507
3,0,2023,0.8501336751122958,23507
3,0,2024,0.8092366107536817,23507
3,0,2025,0.854246153396085,23507
3,1,2000,0.5736389405582677,5637
3,1,2001,0.5205711740920387,5637
3,1,2002,0.3959482639291971,5637
3,1,2003,0.2843555961331719,5637
3,1,2004,0.318391826511821,5637
3,1,2005,0.4198538870091257,5637
3,1,2006,0.49777515602627526,5637
3,1,2007,0.4691335637294061,5637
3,1,2008,0.35960405391196276,5637
3,1,2009,0.3409106084410618,5637
3,1,2010,0.3627643294886191,5637
3,1,2011,0.528760747637969,5637
3,1,2012,0.6250706467925758,5637
3,1,2013,0.6439886697492857,5637
3,1,2014,0.6151615949508623,5637
3,1,2015,0.5307261593816673,5637
3,1,2016,0.5051148047951619,5637
3,1,2017,0.4396242357305333,5637
3,1,2018,0.4547992301318861,5637
3,1,2019,0.4139302684230434,5637
3,1,2020,0.370963517917869,5637
3,1,2021,0.4156072231228298,5637
3,1,2022,0.4341755667651372,5637
3,1,2023,0.5625220130696708,5637
3,1,2024,0.502426218339881,5637
3,1,2025,0.5383842500795075,5637
3,2,2000,0.6298913955894744,9129
3,2,2001,0.6046131867603212,9129
3,2,2002,0.5682569815756691,9129
