interpolated_year,ARI,n_common_valid,n_zero_range_excluded,n_membership_changed_after_overlap_alignment,fraction_membership_changed_after_overlap_alignment
2001,0.9083254588031797,38273,0,1452,0.03793797193844224
2002,0.9014730053947216,38273,0,1479,0.03864343009432237
2003,0.8834786766267473,38273,0,1724,0.045044809656938314
2004,0.8091862747522175,38273,0,2774,0.07247929349672093
2005,0.8787626594532146,38273,0,1821,0.04757923340213728
2006,0.9284564412680372,38273,0,1066,0.027852533117341205
2007,0.9150393215277189,38273,0,1285,0.03357458260392444
2008,0.7956985881344086,38271,2,3270,0.08544328603903739
2009,0.8837455099757997,38273,0,1774,0.046351213649308914
2010,0.914944290452407,38273,0,1274,0.03328717372560291
2011,0.8626430020785597,38272,1,2061,0.05385137959866221
2012,0.845758789564477,38273,0,2362,0.06171452459958718
2013,0.8840239131825294,38273,0,1730,0.04520157813602278
2014,0.8905578762112243,38273,0,1637,0.042771666710213464
2015,0.8726580948875118,38273,0,1932,0.05047945026520001
2016,0.879758666030696,38273,0,1793,0.04684764716640974
2017,0.9050782336491355,38273,0,1400,0.03657931178637682
2018,0.9273819764058924,38273,0,1087,0.028401222794136857
2019,0.9114452910407322,38273,0,1376,0.03595223787003893
2020,0.9041695651605927,38273,0,1491,0.03895696705249131
2021,0.9014584720232361,38273,0,1582,0.0413346223186058
2022,0.7616071404431084,38273,0,3903,0.10197789564444909
2023,0.9416804586934582,38273,0,1000,0.026128079847412014
2024,0.6513573925387244,38273,0,5694,0.14877328665116402
