feature,family,mean_abs_shap,mean_signed_shap,shap_sd,global_rank,share_total_abs_shap
forest_frac_slope_2000_2025,Land cover,0.0033830572,0.00018410968,0.0048126685,1,0.1753443
mndwi_mean_2000_2025,Hydrology,0.0013303007,0.00027195396,0.0017370669,2,0.06894966
mndwi_slope_2000_2025,Hydrology,0.0012378257,4.0139195e-05,0.0017008577,3,0.064156674
built_frac_slope_2000_2025,Land cover,0.0011544288,1.7687655e-05,0.0028114575,4,0.059834197
forest_frac_mean_2000_2025,Land cover,0.0011137929,-0.00022442304,0.0022275373,5,0.05772803
cropland_frac_slope_2000_2025,Land cover,0.0008300266,1.1329937e-06,0.0011056215,6,0.043020386
cropland_frac_mean_2000_2025,Land cover,0.0007110426,-0.0002493125,0.0010510064,7,0.036853433
slope_mean,Terrain,0.00069531554,-1.3991618e-07,0.00092586316,8,0.036038294
terrain_northness_mean,Terrain,0.00061598775,4.1148013e-07,0.0009078538,9,0.031926725
ssrd_wm2_slope_2000_2025,Climate,0.0005114607,-5.428748e-06,0.00060931634,10,0.026509076
pdsi_slope_2000_2025,Hydrology,0.0004608883,4.4869365e-05,0.00065295637,11,0.0238879
grass_frac_slope_2000_2025,Land cover,0.0004589363,8.293497e-07,0.0009445508,12,0.02378673
elevation_mean,Terrain,0.00037109142,5.7811125e-05,0.0005109828,13,0.019233717
terrain_tpi_5km,Terrain,0.00032032037,6.810523e-05,0.00046021628,14,0.016602246
hydro_hand_m,Hydrology,0.00031983684,-3.0082347e-05,0.00044691522,15,0.016577186
soil_water_top_slope_2000_2025,Hydrology,0.00028971714,-1.668824e-05,0.00051985204,16,0.015016077
ntl_viirs_slope_2014_2025,Human activity,0.00027329093,-1.9847596e-06,0.00040478414,17,0.014164705
pop_log_density_2000,Human activity,0.00026564306,5.1842417e-06,0.0003474804,18,0.013768314
mkde3k,Human activity,0.0002646516,1.3403979e-05,0.00033571626,19,0.013716928
prcp_mm_slope_2000_2025,Climate,0.00023647492,1.2522605e-07,0.000295105,20,0.012256526
terrain_eastness_mean,Terrain,0.00023506128,-7.3215297e-06,0.00034186244,21,0.012183257
soil_water_rootzone_slope_2000_2025,Hydrology,0.00022668076,4.3618443e-06,0.0003143019,22,0.011748893
built_frac_mean_2000_2025,Land cover,0.000226412,-1.6051893e-06,0.00045927093,23,0.011734963
road_dist_km,Human activity,0.00022243506,-2.5407633e-05,0.00030219753,24,0.011528838
prcp_mm_mean_2000_2025,Climate,0.00021940352,-2.6727026e-05,0.00029779595,25,0.011371713
ntl_viirs_mean_2014_2025,Human activity,0.00021644046,5.2010455e-06,0.00029726388,26,0.011218137
hydro_log_upstream_area,Hydrology,0.000192425,5.797011e-06,0.00026018292,27,0.009973412
pdsi_mean_2000_2025,Hydrology,0.00018929344,-1.0630908e-05,0.00027336786,28,0.009811103
hydro_twi_proxy,Hydrology,0.00018321726,-1.0027023e-06,0.00027347854,29,0.009496175
mdist_km,Human activity,0.00017698953,-6.102091e-06,0.0002453387,30,0.00917339
aet_mm_slope_2000_2025,Climate,0.00016701929,-1.0739717e-05,0.0002309656,31,0.008656631
terrain_tpi_1km,Terrain,0.0001657997,1.3351757e-05,0.00022832579,32,0.0085934205
aet_mm_mean_2000_2025,Climate,0.00016442216,3.1548934e-06,0.00023668748,33,0.0085220225
vpd_kpa_slope_2000_2025,Climate,0.00016389866,-8.328828e-06,0.00025237454,34,0.008494889
def_mm_slope_2000_2025,Climate,0.00015053868,-1.6849845e-05,0.00019829968,35,0.0078024394
ssrd_wm2_mean_2000_2025,Climate,0.00013236956,-4.007311e-06,0.0001911585,36,0.0068607316
runoff_mm_mean_2000_2025,Hydrology,0.00012979143,-1.0858092e-05,0.00017326693,37,0.006727107
tmean_c_mean_2000_2025,Climate,0.00012211861,-2.3451391e-06,0.00018206106,38,0.0063294237
soil_water_rootzone_mean_2000_2025,Hydrology,0.000120988945,-7.2216767e-06,0.00019889712,39,0.006270873
pet_mm_slope_2000_2025,Climate,0.000119195276,8.498185e-06,0.00016548422,40,0.006177907
runoff_mm_slope_2000_2025,Hydrology,0.00011857301,-3.259353e-06,0.0001531161,41,0.0061456547
tmean_c_slope_2000_2025,Climate,0.00011305471,-2.0136691e-05,0.00018328748,42,0.0058596404
vpd_kpa_mean_2000_2025,Climate,0.00010484079,-1.37812785e-05,0.00015819866,43,0.005433912
pet_mm_mean_2000_2025,Climate,0.000104011546,-1.9185554e-05,0.00015084774,44,0.0053909323
def_mm_mean_2000_2025,Climate,0.00010194828,-7.792365e-06,0.00013564313,45,0.0052839927
soil_water_top_mean_2000_2025,Hydrology,9.4586176e-05,-6.742179e-06,0.00014294934,46,0.004902414
pop_log_change_2000_2020_per_year,Human activity,8.858127e-05,1.3006203e-05,0.0001357645,47,0.004591179
water_frac_mean_2000_2025,Land cover,5.2132866e-05,7.171452e-06,0.0002648171,48,0.0027020534
grass_frac_mean_2000_2025,Land cover,4.1342577e-05,-9.907318e-06,0.00011522219,49,0.0021427912
hydro_stream_distance_km,Hydrology,3.0908515e-05,-1.3713635e-06,6.189929e-05,50,0.0016019924
mining_disturbance_intensity_2000_2025,Human activity,2.2322989e-05,-7.7653704e-07,0.00012644977,51,0.0011570035
mcnt2k,Human activity,2.0864129e-05,-3.0593003e-07,5.4015807e-05,52,0.0010813905
water_frac_slope_2000_2025,Land cover,1.4676302e-05,-2.252373e-06,6.763393e-05,53,0.00076067465
barren_frac_mean_2000_2025,Land cover,8.29227e-06,-2.5614995e-07,7.886635e-05,54,0.00042978942
shrub_frac_mean_2000_2025,Land cover,5.775649e-06,-5.390263e-07,3.6229056e-05,55,0.00029935263
barren_frac_slope_2000_2025,Land cover,2.7181698e-06,1.0827714e-07,3.208873e-05,56,0.0001408831
shrub_frac_slope_2000_2025,Land cover,5.7635975e-07,-1.3209082e-07,3.839005e-06,57,2.9872801e-05
